evaluator,case_key,category,candidate_id,original_case_id,expected_result_loaded_post_run,detected,runtime_or_scanner_state,classification,mapped_alert_count
framework,sqli::os15-c000005,boolean_sqli,os15-c000005,BenchmarkTest00026,vulnerable,True,verified,TP,0
framework,sqli::os15-c000146,boolean_sqli,os15-c000146,BenchmarkTest00849,vulnerable,True,verified,TP,0
framework,sqli::os15-c000443,boolean_sqli,os15-c000443,BenchmarkTest02532,vulnerable,True,verified,TP,0
framework,sqli::os15-c000292,boolean_sqli,os15-c000292,BenchmarkTest01716,vulnerable,True,verified,TP,0
framework,sqli::os15-c000145,boolean_sqli,os15-c000145,BenchmarkTest00848,vulnerable,True,verified,TP,0
framework,sqli::os15-c000453,boolean_sqli,os15-c000453,BenchmarkTest02542,vulnerable,True,verified,TP,0
framework,sqli::os15-c000468,boolean_sqli,os15-c000468,BenchmarkTest02635,vulnerable,True,verified,TP,0
framework,sqli::os15-c000482,boolean_sqli,os15-c000482,BenchmarkTest02649,vulnerable,True,verified,TP,0
framework,sqli::os15-c000480,boolean_sqli,os15-c000480,BenchmarkTest02647,vulnerable,True,verified,TP,0
framework,sqli::os15-c000483,boolean_sqli,os15-c000483,BenchmarkTest02650,vulnerable,True,verified,TP,0
framework,sqli::os15-c000478,boolean_sqli,os15-c000478,BenchmarkTest02645,vulnerable,True,verified,TP,0
framework,sqli::os15-c000152,boolean_sqli,os15-c000152,BenchmarkTest00927,non_vulnerable,False,inconclusive,TN,0
framework,sqli::os15-c000469,boolean_sqli,os15-c000469,BenchmarkTest02636,non_vulnerable,False,inconclusive,TN,0
framework,sqli::os15-c000305,boolean_sqli,os15-c000305,BenchmarkTest01729,non_vulnerable,False,inconclusive,TN,0
framework,sqli::os15-c000087,boolean_sqli,os15-c000087,BenchmarkTest00517,non_vulnerable,False,inconclusive,TN,0
framework,sqli::os15-c000485,boolean_sqli,os15-c000485,BenchmarkTest02652,non_vulnerable,False,inconclusive,TN,0
framework,sqli::os15-c000308,boolean_sqli,os15-c000308,BenchmarkTest01732,non_vulnerable,False,inconclusive,TN,0
framework,sqli::os15-c000216,boolean_sqli,os15-c000216,BenchmarkTest01303,non_vulnerable,False,inconclusive,TN,0
framework,sqli::os15-c000373,boolean_sqli,os15-c000373,BenchmarkTest02173,non_vulnerable,False,inconclusive,TN,0
framework,sqli::os15-c000464,boolean_sqli,os15-c000464,BenchmarkTest02631,non_vulnerable,False,inconclusive,TN,0
framework,sqli::os15-c000501,boolean_sqli,os15-c000501,BenchmarkTest02737,non_vulnerable,False,inconclusive,TN,0
zap_passive,xss::ox14-c000330,reflected_xss,ox14-c000330,BenchmarkTest02132,vulnerable,False,no_alert,FN,0
zap_passive,xss::ox14-c000419,reflected_xss,ox14-c000419,BenchmarkTest02586,vulnerable,False,no_alert,FN,0
zap_passive,xss::ox14-c000382,reflected_xss,ox14-c000382,BenchmarkTest02399,vulnerable,False,no_alert,FN,0
zap_passive,xss::ox14-c000116,reflected_xss,ox14-c000116,BenchmarkTest00721,vulnerable,False,no_alert,FN,0
zap_passive,xss::ox14-c000431,reflected_xss,ox14-c000431,BenchmarkTest02598,vulnerable,False,no_alert,FN,0
zap_passive,xss::ox14-c000200,reflected_xss,ox14-c000200,BenchmarkTest01267,vulnerable,False,no_alert,FN,0
zap_passive,xss::ox14-c000394,reflected_xss,ox14-c000394,BenchmarkTest02480,vulnerable,False,no_alert,FN,0
zap_passive,xss::ox14-c000403,reflected_xss,ox14-c000403,BenchmarkTest02489,vulnerable,False,no_alert,FN,0
zap_passive,xss::ox14-c000104,reflected_xss,ox14-c000104,BenchmarkTest00651,vulnerable,False,no_alert,FN,0
zap_passive,xss::ox14-c000400,reflected_xss,ox14-c000400,BenchmarkTest02486,vulnerable,False,no_alert,FN,0
zap_passive,xss::ox14-c000062,reflected_xss,ox14-c000062,BenchmarkTest00395,vulnerable,False,no_alert,FN,0
zap_passive,xss::ox14-c000421,reflected_xss,ox14-c000421,BenchmarkTest02588,vulnerable,False,no_alert,FN,0
zap_passive,xss::ox14-c000253,reflected_xss,ox14-c000253,BenchmarkTest01587,vulnerable,False,no_alert,FN,0
zap_passive,xss::ox14-c000124,reflected_xss,ox14-c000124,BenchmarkTest00729,vulnerable,False,no_alert,FN,0
zap_passive,xss::ox14-c000386,reflected_xss,ox14-c000386,BenchmarkTest02403,vulnerable,False,no_alert,FN,0
zap_passive,xss::ox14-c000352,reflected_xss,ox14-c000352,BenchmarkTest02237,non_vulnerable,False,no_alert,TN,0
zap_passive,xss::ox14-c000399,reflected_xss,ox14-c000399,BenchmarkTest02485,non_vulnerable,False,no_alert,TN,0
zap_passive,xss::ox14-c000273,reflected_xss,ox14-c000273,BenchmarkTest01664,non_vulnerable,False,no_alert,TN,0
zap_passive,xss::ox14-c000398,reflected_xss,ox14-c000398,BenchmarkTest02484,non_vulnerable,False,no_alert,TN,0
zap_passive,xss::ox14-c000384,reflected_xss,ox14-c000384,BenchmarkTest02401,non_vulnerable,False,no_alert,TN,0
zap_passive,xss::ox14-c000219,reflected_xss,ox14-c000219,BenchmarkTest01351,non_vulnerable,False,no_alert,TN,0
zap_passive,xss::ox14-c000065,reflected_xss,ox14-c000065,BenchmarkTest00469,non_vulnerable,False,no_alert,TN,0
zap_passive,xss::ox14-c000351,reflected_xss,ox14-c000351,BenchmarkTest02236,non_vulnerable,False,no_alert,TN,0
zap_passive,xss::ox14-c000377,reflected_xss,ox14-c000377,BenchmarkTest02394,non_vulnerable,False,no_alert,TN,0
zap_passive,xss::ox14-c000261,reflected_xss,ox14-c000261,BenchmarkTest01595,non_vulnerable,False,no_alert,TN,0
zap_passive,sqli::os15-c000302,boolean_sqli,os15-c000302,BenchmarkTest01726,vulnerable,False,no_alert,FN,0
zap_passive,sqli::os15-c000477,boolean_sqli,os15-c000477,BenchmarkTest02644,vulnerable,False,no_alert,FN,0
zap_passive,sqli::os15-c000142,boolean_sqli,os15-c000142,BenchmarkTest00845,vulnerable,False,no_alert,FN,0
zap_passive,sqli::os15-c000304,boolean_sqli,os15-c000304,BenchmarkTest01728,vulnerable,False,no_alert,FN,0
zap_passive,sqli::os15-c000005,boolean_sqli,os15-c000005,BenchmarkTest00026,vulnerable,False,no_alert,FN,0
zap_passive,sqli::os15-c000146,boolean_sqli,os15-c000146,BenchmarkTest00849,vulnerable,False,no_alert,FN,0
zap_passive,sqli::os15-c000443,boolean_sqli,os15-c000443,BenchmarkTest02532,vulnerable,False,no_alert,FN,0
zap_passive,sqli::os15-c000292,boolean_sqli,os15-c000292,BenchmarkTest01716,vulnerable,False,no_alert,FN,0
zap_passive,sqli::os15-c000145,boolean_sqli,os15-c000145,BenchmarkTest00848,vulnerable,False,no_alert,FN,0
zap_passive,sqli::os15-c000453,boolean_sqli,os15-c000453,BenchmarkTest02542,vulnerable,False,no_alert,FN,0
zap_passive,sqli::os15-c000468,boolean_sqli,os15-c000468,BenchmarkTest02635,vulnerable,False,no_alert,FN,0
zap_passive,sqli::os15-c000482,boolean_sqli,os15-c000482,BenchmarkTest02649,vulnerable,False,no_alert,FN,0
zap_passive,sqli::os15-c000480,boolean_sqli,os15-c000480,BenchmarkTest02647,vulnerable,False,no_alert,FN,0
zap_passive,sqli::os15-c000483,boolean_sqli,os15-c000483,BenchmarkTest02650,vulnerable,False,no_alert,FN,0
zap_passive,sqli::os15-c000478,boolean_sqli,os15-c000478,BenchmarkTest02645,vulnerable,False,no_alert,FN,0
zap_passive,sqli::os15-c000152,boolean_sqli,os15-c000152,BenchmarkTest00927,non_vulnerable,False,no_alert,TN,0
zap_passive,sqli::os15-c000469,boolean_sqli,os15-c000469,BenchmarkTest02636,non_vulnerable,False,no_alert,TN,0
zap_passive,sqli::os15-c000305,boolean_sqli,os15-c000305,BenchmarkTest01729,non_vulnerable,False,no_alert,TN,0
zap_passive,sqli::os15-c000087,boolean_sqli,os15-c000087,BenchmarkTest00517,non_vulnerable,False,no_alert,TN,0
zap_passive,sqli::os15-c000485,boolean_sqli,os15-c000485,BenchmarkTest02652,non_vulnerable,False,no_alert,TN,0
zap_passive,sqli::os15-c000308,boolean_sqli,os15-c000308,BenchmarkTest01732,non_vulnerable,False,no_alert,TN,0
zap_passive,sqli::os15-c000216,boolean_sqli,os15-c000216,BenchmarkTest01303,non_vulnerable,False,no_alert,TN,0
zap_passive,sqli::os15-c000373,boolean_sqli,os15-c000373,BenchmarkTest02173,non_vulnerable,False,no_alert,TN,0
zap_passive,sqli::os15-c000464,boolean_sqli,os15-c000464,BenchmarkTest02631,non_vulnerable,False,no_alert,TN,0
zap_passive,sqli::os15-c000501,boolean_sqli,os15-c000501,BenchmarkTest02737,non_vulnerable,False,no_alert,TN,0
zap_active,xss::ox14-c000330,reflected_xss,ox14-c000330,BenchmarkTest02132,vulnerable,True,alerted,TP,2
zap_active,xss::ox14-c000419,reflected_xss,ox14-c000419,BenchmarkTest02586,vulnerable,True,alerted,TP,2
zap_active,xss::ox14-c000382,reflected_xss,ox14-c000382,BenchmarkTest02399,vulnerable,True,alerted,TP,2
zap_active,xss::ox14-c000116,reflected_xss,ox14-c000116,BenchmarkTest00721,vulnerable,True,alerted,TP,2
zap_active,xss::ox14-c000431,reflected_xss,ox14-c000431,BenchmarkTest02598,vulnerable,True,alerted,TP,2
zap_active,xss::ox14-c000200,reflected_xss,ox14-c000200,BenchmarkTest01267,vulnerable,True,alerted,TP,2
zap_active,xss::ox14-c000394,reflected_xss,ox14-c000394,BenchmarkTest02480,vulnerable,True,alerted,TP,2
zap_active,xss::ox14-c000403,reflected_xss,ox14-c000403,BenchmarkTest02489,vulnerable,True,alerted,TP,2
zap_active,xss::ox14-c000104,reflected_xss,ox14-c000104,BenchmarkTest00651,vulnerable,True,alerted,TP,2
zap_active,xss::ox14-c000400,reflected_xss,ox14-c000400,BenchmarkTest02486,vulnerable,False,no_alert,FN,0
zap_active,xss::ox14-c000062,reflected_xss,ox14-c000062,BenchmarkTest00395,vulnerable,True,alerted,TP,2
zap_active,xss::ox14-c000421,reflected_xss,ox14-c000421,BenchmarkTest02588,vulnerable,True,alerted,TP,2
zap_active,xss::ox14-c000253,reflected_xss,ox14-c000253,BenchmarkTest01587,vulnerable,True,alerted,TP,2
zap_active,xss::ox14-c000124,reflected_xss,ox14-c000124,BenchmarkTest00729,vulnerable,True,alerted,TP,2
zap_active,xss::ox14-c000386,reflected_xss,ox14-c000386,BenchmarkTest02403,vulnerable,True,alerted,TP,2
zap_active,xss::ox14-c000352,reflected_xss,ox14-c000352,BenchmarkTest02237,non_vulnerable,False,no_alert,TN,0
zap_active,xss::ox14-c000399,reflected_xss,ox14-c000399,BenchmarkTest02485,non_vulnerable,False,no_alert,TN,0
zap_active,xss::ox14-c000273,reflected_xss,ox14-c000273,BenchmarkTest01664,non_vulnerable,False,no_alert,TN,0
zap_active,xss::ox14-c000398,reflected_xss,ox14-c000398,BenchmarkTest02484,non_vulnerable,False,no_alert,TN,0
zap_active,xss::ox14-c000384,reflected_xss,ox14-c000384,BenchmarkTest02401,non_vulnerable,False,no_alert,TN,0
zap_active,xss::ox14-c000219,reflected_xss,ox14-c000219,BenchmarkTest01351,non_vulnerable,False,no_alert,TN,0
zap_active,xss::ox14-c000065,reflected_xss,ox14-c000065,BenchmarkTest00469,non_vulnerable,False,no_alert,TN,0
zap_active,xss::ox14-c000351,reflected_xss,ox14-c000351,BenchmarkTest02236,non_vulnerable,False,no_alert,TN,0
zap_active,xss::ox14-c000377,reflected_xss,ox14-c000377,BenchmarkTest02394,non_vulnerable,False,no_alert,TN,0
zap_active,xss::ox14-c000261,reflected_xss,ox14-c000261,BenchmarkTest01595,non_vulnerable,False,no_alert,TN,0
zap_active,sqli::os15-c000302,boolean_sqli,os15-c000302,BenchmarkTest01726,vulnerable,True,alerted,TP,1
zap_active,sqli::os15-c000477,boolean_sqli,os15-c000477,BenchmarkTest02644,vulnerable,True,alerted,TP,1
zap_active,sqli::os15-c000142,boolean_sqli,os15-c000142,BenchmarkTest00845,vulnerable,True,alerted,TP,1
zap_active,sqli::os15-c000304,boolean_sqli,os15-c000304,BenchmarkTest01728,vulnerable,True,alerted,TP,1
zap_active,sqli::os15-c000005,boolean_sqli,os15-c000005,BenchmarkTest00026,vulnerable,True,alerted,TP,1
zap_active,sqli::os15-c000146,boolean_sqli,os15-c000146,BenchmarkTest00849,vulnerable,True,alerted,TP,1
zap_active,sqli::os15-c000443,boolean_sqli,os15-c000443,BenchmarkTest02532,vulnerable,True,alerted,TP,1
zap_active,sqli::os15-c000292,boolean_sqli,os15-c000292,BenchmarkTest01716,vulnerable,True,alerted,TP,1
zap_active,sqli::os15-c000145,boolean_sqli,os15-c000145,BenchmarkTest00848,vulnerable,True,alerted,TP,1
zap_active,sqli::os15-c000453,boolean_sqli,os15-c000453,BenchmarkTest02542,vulnerable,True,alerted,TP,1
zap_active,sqli::os15-c000468,boolean_sqli,os15-c000468,BenchmarkTest02635,vulnerable,True,alerted,TP,1
zap_active,sqli::os15-c000482,boolean_sqli,os15-c000482,BenchmarkTest02649,vulnerable,True,alerted,TP,1
zap_active,sqli::os15-c000480,boolean_sqli,os15-c000480,BenchmarkTest02647,vulnerable,True,alerted,TP,1
zap_active,sqli::os15-c000483,boolean_sqli,os15-c000483,BenchmarkTest02650,vulnerable,True,alerted,TP,1
zap_active,sqli::os15-c000478,boolean_sqli,os15-c000478,BenchmarkTest02645,vulnerable,True,alerted,TP,1
zap_active,sqli::os15-c000152,boolean_sqli,os15-c000152,BenchmarkTest00927,non_vulnerable,False,no_alert,TN,0
zap_active,sqli::os15-c000469,boolean_sqli,os15-c000469,BenchmarkTest02636,non_vulnerable,False,no_alert,TN,0
zap_active,sqli::os15-c000305,boolean_sqli,os15-c000305,BenchmarkTest01729,non_vulnerable,False,no_alert,TN,0
zap_active,sqli::os15-c000087,boolean_sqli,os15-c000087,BenchmarkTest00517,non_vulnerable,False,no_alert,TN,0
zap_active,sqli::os15-c000485,boolean_sqli,os15-c000485,BenchmarkTest02652,non_vulnerable,False,no_alert,TN,0
zap_active,sqli::os15-c000308,boolean_sqli,os15-c000308,BenchmarkTest01732,non_vulnerable,False,no_alert,TN,0
zap_active,sqli::os15-c000216,boolean_sqli,os15-c000216,BenchmarkTest01303,non_vulnerable,False,no_alert,TN,0
zap_active,sqli::os15-c000373,boolean_sqli,os15-c000373,BenchmarkTest02173,non_vulnerable,False,no_alert,TN,0
zap_active,sqli::os15-c000464,boolean_sqli,os15-c000464,BenchmarkTest02631,non_vulnerable,False,no_alert,TN,0
zap_active,sqli::os15-c000501,boolean_sqli,os15-c000501,BenchmarkTest02737,non_vulnerable,False,no_alert,TN,0
