arm_family,arm_id,candidate_test_budget,expected_model_runtime,ground_truth_available_to_runner,protocol_commit,protocol_tag,representation_condition,row_id,scenario_id,schema_version,scored,sequence,snapshot_path,snapshot_reference,top_k,trial_number
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00011,ow14-s0011,owasp-xss-v14-1-immutable-execution-schedule-v1,True,11,model-facing/minimal-candidate-snapshots/ow14-s0011.json,"{""candidate_input_sha256"": ""0de5e27f1efa293bd59ed436d26f00cd7a8abbcc32d7f4e5453f92d28d6c1bec"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0011.json"", ""snapshot_sha256"": ""eb3ddfc283af1d3336e5a6030ac255d151b280966a477544bdc775dbee25efd3""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00012,ow14-s0012,owasp-xss-v14-1-immutable-execution-schedule-v1,True,12,model-facing/minimal-candidate-snapshots/ow14-s0012.json,"{""candidate_input_sha256"": ""d9914385c434f124703acd45e607616a6513d27d000713a3b46c2fe90983024e"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0012.json"", ""snapshot_sha256"": ""5290af59ec49cc440fc1f25c696c776b0bffc89c9f85e5b7e09138222371ae61""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00013,ow14-s0013,owasp-xss-v14-1-immutable-execution-schedule-v1,True,13,model-facing/minimal-candidate-snapshots/ow14-s0013.json,"{""candidate_input_sha256"": ""2c68c3eb38ea9a37001fef7b061de2bf9e842fb9b7ffcdef69e3e414c8878b6a"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0013.json"", ""snapshot_sha256"": ""8cb3399f383ce21138d6cc25a125a2d71cb95c48ec145184c03e8c21c199879c""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00014,ow14-s0014,owasp-xss-v14-1-immutable-execution-schedule-v1,True,14,model-facing/minimal-candidate-snapshots/ow14-s0014.json,"{""candidate_input_sha256"": ""7c17167c8526f5229ebe946bb374361be8b4a04f2bd8967deb3e8bf4f3c3e624"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0014.json"", ""snapshot_sha256"": ""2b7b9a363d7e12f80f10e2386d3816be5148856db12d4e121f8874ba33cacf4c""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00015,ow14-s0015,owasp-xss-v14-1-immutable-execution-schedule-v1,True,15,model-facing/minimal-candidate-snapshots/ow14-s0015.json,"{""candidate_input_sha256"": ""f0d0816e7c9a2d61a816008fe409c6b13ff08893d2998c11e5fc85c09bf2ca6a"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0015.json"", ""snapshot_sha256"": ""f78ee12820cc16adba64ac3358eb19a79188d757e5d46d79888f7da8497c2222""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00016,ow14-s0016,owasp-xss-v14-1-immutable-execution-schedule-v1,True,16,model-facing/minimal-candidate-snapshots/ow14-s0016.json,"{""candidate_input_sha256"": ""20e47bd699746136728fa5de4908c1fcd1a6caa4dde6194c165819f1e16c5077"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0016.json"", ""snapshot_sha256"": ""e7879de5155bf2810e9a347db570ddd52221be0cb6d5b41a18648ed107e26caf""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00017,ow14-s0017,owasp-xss-v14-1-immutable-execution-schedule-v1,True,17,model-facing/minimal-candidate-snapshots/ow14-s0017.json,"{""candidate_input_sha256"": ""c957001e1680db907f3c255eab35724c065539a9c935e4cb8d09ffd9aa8f30f3"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0017.json"", ""snapshot_sha256"": ""2381598bccc0ad600a6ec59dbe5f25ae0ba86b9341fe41258244eb6b854dcf27""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00018,ow14-s0018,owasp-xss-v14-1-immutable-execution-schedule-v1,True,18,model-facing/minimal-candidate-snapshots/ow14-s0018.json,"{""candidate_input_sha256"": ""f9bc330b50f53547e5c0dae851b51995b98d97c3d980843c083a76e7743a13cc"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0018.json"", ""snapshot_sha256"": ""616bbb85aa4ed7066f1cfeb5d39d586a58f29437a0d41d09918feb3a33008149""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00019,ow14-s0019,owasp-xss-v14-1-immutable-execution-schedule-v1,True,19,model-facing/minimal-candidate-snapshots/ow14-s0019.json,"{""candidate_input_sha256"": ""62e149bbe3aabb219e4988e8a5c56e6bb221e0576369de1addb556f0373234d2"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0019.json"", ""snapshot_sha256"": ""698c80057105b9426d6161295ddca543145e75d9db9ed4dd0c18c0143feedaad""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00020,ow14-s0020,owasp-xss-v14-1-immutable-execution-schedule-v1,True,20,model-facing/minimal-candidate-snapshots/ow14-s0020.json,"{""candidate_input_sha256"": ""b4d5dc5cdcb54baf00a61f6c19bce053919884891362a8363b94e9eefb606094"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0020.json"", ""snapshot_sha256"": ""2e796f52995b4e002fb36a59c8ceb11ff524503b41df0ca8c04764e73c12c8ce""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00021,ow14-s0021,owasp-xss-v14-1-immutable-execution-schedule-v1,True,21,model-facing/minimal-candidate-snapshots/ow14-s0021.json,"{""candidate_input_sha256"": ""2097c744a217c86be01a5ee6964b99fcbfad2acc3d3ed88affcc4d2358e33623"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0021.json"", ""snapshot_sha256"": ""c770265cab1687d1bfba604029d82e4b4130df5d4fdbf0bc7542557e36b474aa""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00022,ow14-s0022,owasp-xss-v14-1-immutable-execution-schedule-v1,True,22,model-facing/minimal-candidate-snapshots/ow14-s0022.json,"{""candidate_input_sha256"": ""4f8fe190886a99dd63f53989c8aa65ab11ceed3b2c4120a800d0428832c6edad"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0022.json"", ""snapshot_sha256"": ""711764e8ca6cf9c3ca3bbab0e4400df86fe3d90981b9145e8426ff209afd2cd9""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00023,ow14-s0023,owasp-xss-v14-1-immutable-execution-schedule-v1,True,23,model-facing/minimal-candidate-snapshots/ow14-s0023.json,"{""candidate_input_sha256"": ""b38ad22323eb2f5a26015abdc82389f89b0bcb7340397aa0b5b0d816202b7d13"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0023.json"", ""snapshot_sha256"": ""673b1032bdcf1d3d724592a52c01334169292153b205edbcb8280b83cd78b32a""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00024,ow14-s0024,owasp-xss-v14-1-immutable-execution-schedule-v1,True,24,model-facing/minimal-candidate-snapshots/ow14-s0024.json,"{""candidate_input_sha256"": ""d3c56e4531ec9e099bca3d787ffeb477598df268fd20b87693a757280434c616"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0024.json"", ""snapshot_sha256"": ""5609c771ae4fb0313c380dbaf99629b9d9df08a63ab918d93460a0b33f1d653f""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00025,ow14-s0025,owasp-xss-v14-1-immutable-execution-schedule-v1,True,25,model-facing/minimal-candidate-snapshots/ow14-s0025.json,"{""candidate_input_sha256"": ""d6c3104efcb6b45eb6bb735396bc1f94b8f9555940730f98a6d3083df0c2950f"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0025.json"", ""snapshot_sha256"": ""4a2fe4fcbac65d0be4b41270886bf1c97c03165265ecdcf47e02e35798a3c7d2""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00026,ow14-s0026,owasp-xss-v14-1-immutable-execution-schedule-v1,True,26,model-facing/minimal-candidate-snapshots/ow14-s0026.json,"{""candidate_input_sha256"": ""567a1608f53d6d507dc241eaea9983ebf91020cf11a9d8a94f853b7e61f7f831"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0026.json"", ""snapshot_sha256"": ""fe8fde8e18064f33c94844143bfdedd0738a0085f855a25ec54b23dc9b2a220d""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00027,ow14-s0027,owasp-xss-v14-1-immutable-execution-schedule-v1,True,27,model-facing/minimal-candidate-snapshots/ow14-s0027.json,"{""candidate_input_sha256"": ""5eeb5b0e1a79271c556427d800bed9f3dd42a33d02a4613a2815299f209aa880"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0027.json"", ""snapshot_sha256"": ""a68f6695f561e41884e962364e0fdf0835ee5d913b8446159e629f0dd8986bdf""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00028,ow14-s0028,owasp-xss-v14-1-immutable-execution-schedule-v1,True,28,model-facing/minimal-candidate-snapshots/ow14-s0028.json,"{""candidate_input_sha256"": ""1ef2c76c5409f8e569104613c80731cfbeae10e7abc705882182abb4af0a853b"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0028.json"", ""snapshot_sha256"": ""93351ec00093c16ff7e1c4f30cb90b211422bbe282f72e7e109d4abd925d70fb""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00029,ow14-s0029,owasp-xss-v14-1-immutable-execution-schedule-v1,True,29,model-facing/minimal-candidate-snapshots/ow14-s0029.json,"{""candidate_input_sha256"": ""2ddacd2667e8f1b7970538462e23005cd97b97f49f5ccc42244930e6d77a5c10"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0029.json"", ""snapshot_sha256"": ""9632e550f568bdd2c2bb1c47dca1f85dde477640881f88e0b5b0f6a56faf75a3""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00030,ow14-s0030,owasp-xss-v14-1-immutable-execution-schedule-v1,True,30,model-facing/minimal-candidate-snapshots/ow14-s0030.json,"{""candidate_input_sha256"": ""1f67b28fe8c0bdd89664acca0ceb2573800d3a3bb8e257dc37c9139b2fa97133"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0030.json"", ""snapshot_sha256"": ""12fdb48edce9b1be186b1ce0b9a8df37269a8925b4ccc19162f99258cd6d8fc1""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00031,ow14-s0031,owasp-xss-v14-1-immutable-execution-schedule-v1,True,31,model-facing/minimal-candidate-snapshots/ow14-s0031.json,"{""candidate_input_sha256"": ""457e7942c86326261b6d7ae6c0ddee854c85d4c52b1e7265604453287c8e31bb"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0031.json"", ""snapshot_sha256"": ""8fac9f1ab9686c75a80701b7ff4fc8a6239f772c767d728106438ac4925d1f8e""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00032,ow14-s0032,owasp-xss-v14-1-immutable-execution-schedule-v1,True,32,model-facing/minimal-candidate-snapshots/ow14-s0032.json,"{""candidate_input_sha256"": ""c186317b09add6ff7be17c32090d67f9461778a259487a62b7221af54980d654"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0032.json"", ""snapshot_sha256"": ""f069f46f0583705b64a9c77f1413c51d325b1a457efb144832c8d9d65882ca02""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00033,ow14-s0033,owasp-xss-v14-1-immutable-execution-schedule-v1,True,33,model-facing/minimal-candidate-snapshots/ow14-s0033.json,"{""candidate_input_sha256"": ""67d59a35e43c124e18241cdfcef31845366383251af292d8827aad4715f36c72"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0033.json"", ""snapshot_sha256"": ""c0744a5449043d579280c226d7f0a57576d1860346b62525c3371c4bff321613""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00034,ow14-s0034,owasp-xss-v14-1-immutable-execution-schedule-v1,True,34,model-facing/minimal-candidate-snapshots/ow14-s0034.json,"{""candidate_input_sha256"": ""42404b64c9386a9b35f376f018e8e2320ca834d12839ca6c648ffed02392a976"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0034.json"", ""snapshot_sha256"": ""852fbea2eb6ba6266364b74c8000d48e811089d433a75df32d6f0c94f1b66ee3""}",4,1
