scenario_id,arm_id,trial_number,rank,candidate_id,action_path,parameter_name,ground_truth_vulnerable,within_top_k,model_identifier,provider,provider_failed,validation_error_count,latency_ms
x13-002,proprietary_gpt,1,3,get-form:http://127.0.0.1:4395/suite-v13/x13-002/noble:name,/suite-v13/x13-002/noble,name,False,True,gpt-5.6-luna,,True,1,
x13-022,proprietary_gpt,3,2,get-form:http://127.0.0.1:4395/suite-v13/x13-022/quartz:comment,/suite-v13/x13-022/quartz,comment,False,True,gpt-5.6-luna,,True,1,
x13-008,local_qwen,4,3,query:http://127.0.0.1:4395/suite-v13/x13-008/south?item=sample&mode=sample:item,/suite-v13/x13-008/south,item,True,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,131176
x13-001,deterministic_structural,1,2,get-form:http://127.0.0.1:4395/suite-v13/x13-001/birch:memo,/suite-v13/x13-001/birch,memo,False,True,deterministic_structural,deterministic,False,0,
x13-010,proprietary_gpt,1,6,query:http://127.0.0.1:4395/suite-v13/x13-010/south?code=sample&view=sample&page=sample:page,/suite-v13/x13-010/south,page,False,False,gpt-5.6-luna,,True,1,
x13-008,proprietary_gpt,4,1,get-form:http://127.0.0.1:4395/suite-v13/x13-008/sable:query,/suite-v13/x13-008/sable,query,False,True,gpt-5.6-luna,,True,1,
x13-010,proprietary_gpt,1,2,get-form:http://127.0.0.1:4395/suite-v13/x13-010/benton:line,/suite-v13/x13-010/benton,line,False,True,gpt-5.6-luna,,True,1,
x13-005,deterministic_structural,1,5,query:http://127.0.0.1:4395/suite-v13/x13-005/south?memo=sample&ref=sample&view=sample:memo,/suite-v13/x13-005/south,memo,False,False,deterministic_structural,deterministic,False,0,
x13-013,local_qwen,1,1,get-form:http://127.0.0.1:4395/suite-v13/x13-013/larch:code,/suite-v13/x13-013/larch,code,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,116724
x13-005,local_qwen,1,6,query:http://127.0.0.1:4395/suite-v13/x13-005/south?memo=sample&ref=sample&view=sample:ref,/suite-v13/x13-005/south,ref,False,False,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,171434
x13-015,local_qwen,2,4,query:http://127.0.0.1:4395/suite-v13/x13-015/south?ref=sample&mode=sample&page=sample&item=sample:item,/suite-v13/x13-015/south,item,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,153231
x13-019,proprietary_gpt,5,2,get-form:http://127.0.0.1:4395/suite-v13/x13-019/grove:search,/suite-v13/x13-019/grove,search,False,True,gpt-5.6-luna,,True,1,
x13-005,local_qwen,2,4,get-form:http://127.0.0.1:4395/suite-v13/x13-005/krypton:title,/suite-v13/x13-005/krypton,title,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,153160
x13-009,proprietary_gpt,4,4,query:http://127.0.0.1:4395/suite-v13/x13-009/west?ref=sample:ref,/suite-v13/x13-009/west,ref,False,True,gpt-5.6-luna,,True,1,
x13-004,proprietary_gpt,4,1,get-form:http://127.0.0.1:4395/suite-v13/x13-004/echo:memo,/suite-v13/x13-004/echo,memo,True,True,gpt-5.6-luna,,True,1,
x13-016,local_qwen,3,4,get-form:http://127.0.0.1:4395/suite-v13/x13-016/yonder:memo,/suite-v13/x13-016/yonder,memo,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,87225
x13-010,proprietary_gpt,3,5,query:http://127.0.0.1:4395/suite-v13/x13-010/south?code=sample&view=sample&page=sample:code,/suite-v13/x13-010/south,code,False,False,gpt-5.6-luna,,True,1,
x13-012,local_qwen,3,7,query:http://127.0.0.1:4395/suite-v13/x13-012/west?slot=sample&page=sample&mode=sample:page,/suite-v13/x13-012/west,page,False,False,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,124849
x13-003,proprietary_gpt,2,6,query:http://127.0.0.1:4395/suite-v13/x13-003/west?view=sample&page=sample:view,/suite-v13/x13-003/west,view,False,False,gpt-5.6-luna,,True,1,
x13-021,proprietary_gpt,3,4,get-form:http://127.0.0.1:4395/suite-v13/x13-021/onyx:item,/suite-v13/x13-021/onyx,item,False,True,gpt-5.6-luna,,True,1,
x13-006,local_qwen,4,4,get-form:http://127.0.0.1:4395/suite-v13/x13-006/onyx:message,/suite-v13/x13-006/onyx,message,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,188003
x13-023,proprietary_gpt,4,8,query:http://127.0.0.1:4395/suite-v13/x13-023/south?ref=sample&page=sample&mode=sample&kind=sample:ref,/suite-v13/x13-023/south,ref,False,False,gpt-5.6-luna,,True,1,
x13-019,local_qwen,1,1,get-form:http://127.0.0.1:4395/suite-v13/x13-019/field:comment,/suite-v13/x13-019/field,comment,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,134547
x13-006,proprietary_gpt,4,6,query:http://127.0.0.1:4395/suite-v13/x13-006/detail?ref=sample&page=sample&mode=sample&kind=sample:mode,/suite-v13/x13-006/detail,mode,False,False,gpt-5.6-luna,,True,1,
x13-018,proprietary_gpt,3,1,get-form:http://127.0.0.1:4395/suite-v13/x13-018/cedar:query,/suite-v13/x13-018/cedar,query,False,True,gpt-5.6-luna,,True,1,
x13-002,local_qwen,4,2,get-form:http://127.0.0.1:4395/suite-v13/x13-002/mason:text,/suite-v13/x13-002/mason,text,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,77486
x13-021,local_qwen,3,5,query:http://127.0.0.1:4395/suite-v13/x13-021/south?code=sample&view=sample:code,/suite-v13/x13-021/south,code,False,False,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,94290
x13-015,deterministic_structural,1,7,query:http://127.0.0.1:4395/suite-v13/x13-015/south?ref=sample&mode=sample&page=sample&item=sample:ref,/suite-v13/x13-015/south,ref,False,False,deterministic_structural,deterministic,False,0,
x13-012,proprietary_gpt,4,5,get-form:http://127.0.0.1:4395/suite-v13/x13-012/kepler:message,/suite-v13/x13-012/kepler,message,False,False,gpt-5.6-luna,,True,1,
x13-011,proprietary_gpt,5,2,get-form:http://127.0.0.1:4395/suite-v13/x13-011/drift:memo,/suite-v13/x13-011/drift,memo,False,True,gpt-5.6-luna,,True,1,
x13-015,proprietary_gpt,2,4,query:http://127.0.0.1:4395/suite-v13/x13-015/south?ref=sample&mode=sample&page=sample&item=sample:item,/suite-v13/x13-015/south,item,False,True,gpt-5.6-luna,,True,1,
x13-015,proprietary_gpt,1,3,get-form:http://127.0.0.1:4395/suite-v13/x13-015/upland:message,/suite-v13/x13-015/upland,message,True,True,gpt-5.6-luna,,True,1,
x13-024,local_qwen,5,3,query:http://127.0.0.1:4395/suite-v13/x13-024/east?item=sample&view=sample:item,/suite-v13/x13-024/east,item,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,54288
x13-005,local_qwen,5,6,query:http://127.0.0.1:4395/suite-v13/x13-005/south?memo=sample&ref=sample&view=sample:ref,/suite-v13/x13-005/south,ref,False,False,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,123393
x13-022,local_qwen,4,3,get-form:http://127.0.0.1:4395/suite-v13/x13-022/ridge:title,/suite-v13/x13-022/ridge,title,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,120363
x13-022,proprietary_gpt,1,5,query:http://127.0.0.1:4395/suite-v13/x13-022/east?term=sample&page=sample:page,/suite-v13/x13-022/east,page,False,False,gpt-5.6-luna,,True,1,
x13-006,proprietary_gpt,4,7,query:http://127.0.0.1:4395/suite-v13/x13-006/detail?ref=sample&page=sample&mode=sample&kind=sample:page,/suite-v13/x13-006/detail,page,False,False,gpt-5.6-luna,,True,1,
x13-006,local_qwen,1,4,get-form:http://127.0.0.1:4395/suite-v13/x13-006/onyx:message,/suite-v13/x13-006/onyx,message,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,194949
x13-017,local_qwen,3,1,get-form:http://127.0.0.1:4395/suite-v13/x13-017/amber:tone,/suite-v13/x13-017/amber,tone,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,65453
x13-021,proprietary_gpt,2,2,get-form:http://127.0.0.1:4395/suite-v13/x13-021/mesa:name,/suite-v13/x13-021/mesa,name,False,True,gpt-5.6-luna,,True,1,
x13-014,proprietary_gpt,3,3,get-form:http://127.0.0.1:4395/suite-v13/x13-014/quill:line,/suite-v13/x13-014/quill,line,True,True,gpt-5.6-luna,,True,1,
x13-004,proprietary_gpt,5,1,get-form:http://127.0.0.1:4395/suite-v13/x13-004/echo:memo,/suite-v13/x13-004/echo,memo,True,True,gpt-5.6-luna,,True,1,
x13-016,local_qwen,1,2,get-form:http://127.0.0.1:4395/suite-v13/x13-016/walnut:query,/suite-v13/x13-016/walnut,query,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,116628
x13-019,local_qwen,2,2,get-form:http://127.0.0.1:4395/suite-v13/x13-019/grove:search,/suite-v13/x13-019/grove,search,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,133272
x13-003,local_qwen,5,2,get-form:http://127.0.0.1:4395/suite-v13/x13-003/brook:note,/suite-v13/x13-003/brook,note,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,103034
x13-019,proprietary_gpt,2,5,query:http://127.0.0.1:4395/suite-v13/x13-019/south?code=sample&view=sample&kind=sample:kind,/suite-v13/x13-019/south,kind,False,False,gpt-5.6-luna,,True,1,
x13-018,proprietary_gpt,4,3,get-form:http://127.0.0.1:4395/suite-v13/x13-018/echo:name,/suite-v13/x13-018/echo,name,False,True,gpt-5.6-luna,,True,1,
x13-007,proprietary_gpt,4,2,get-form:http://127.0.0.1:4395/suite-v13/x13-007/quartz:memo,/suite-v13/x13-007/quartz,memo,False,True,gpt-5.6-luna,,True,1,
x13-018,deterministic_structural,1,5,query:http://127.0.0.1:4395/suite-v13/x13-018/south?ref=sample&page=sample:ref,/suite-v13/x13-018/south,ref,False,False,deterministic_structural,deterministic,False,0,
x13-005,proprietary_gpt,2,2,get-form:http://127.0.0.1:4395/suite-v13/x13-005/iris:name,/suite-v13/x13-005/iris,name,False,True,gpt-5.6-luna,,True,1,
x13-006,proprietary_gpt,3,3,get-form:http://127.0.0.1:4395/suite-v13/x13-006/nectar:name,/suite-v13/x13-006/nectar,name,False,True,gpt-5.6-luna,,True,1,
x13-002,local_qwen,5,1,get-form:http://127.0.0.1:4395/suite-v13/x13-002/lumen:query,/suite-v13/x13-002/lumen,query,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,106364
x13-024,proprietary_gpt,3,4,query:http://127.0.0.1:4395/suite-v13/x13-024/east?item=sample&view=sample:view,/suite-v13/x13-024/east,view,False,True,gpt-5.6-luna,,True,1,
x13-011,local_qwen,1,5,query:http://127.0.0.1:4395/suite-v13/x13-011/east?line=sample&page=sample:line,/suite-v13/x13-011/east,line,True,False,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,127122
x13-012,local_qwen,5,2,get-form:http://127.0.0.1:4395/suite-v13/x13-012/hazel:query,/suite-v13/x13-012/hazel,query,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,130801
x13-006,deterministic_structural,1,6,query:http://127.0.0.1:4395/suite-v13/x13-006/detail?ref=sample&page=sample&mode=sample&kind=sample:mode,/suite-v13/x13-006/detail,mode,False,False,deterministic_structural,deterministic,False,0,
x13-013,proprietary_gpt,1,2,get-form:http://127.0.0.1:4395/suite-v13/x13-013/larch:memo,/suite-v13/x13-013/larch,memo,True,True,gpt-5.6-luna,,True,1,
x13-001,local_qwen,4,3,get-form:http://127.0.0.1:4395/suite-v13/x13-001/dune:line,/suite-v13/x13-001/dune,line,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,50242
x13-016,proprietary_gpt,3,3,get-form:http://127.0.0.1:4395/suite-v13/x13-016/yonder:memo,/suite-v13/x13-016/yonder,memo,False,True,gpt-5.6-luna,,True,1,
x13-005,local_qwen,5,2,get-form:http://127.0.0.1:4395/suite-v13/x13-005/iris:name,/suite-v13/x13-005/iris,name,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,123393
x13-011,deterministic_structural,1,6,query:http://127.0.0.1:4395/suite-v13/x13-011/east?line=sample&page=sample:page,/suite-v13/x13-011/east,page,False,False,deterministic_structural,deterministic,False,0,
x13-020,proprietary_gpt,2,7,query:http://127.0.0.1:4395/suite-v13/x13-020/south?ref=sample&page=sample&mode=sample:ref,/suite-v13/x13-020/south,ref,False,False,gpt-5.6-luna,,True,1,
x13-008,proprietary_gpt,2,5,query:http://127.0.0.1:4395/suite-v13/x13-008/south?item=sample&mode=sample:item,/suite-v13/x13-008/south,item,True,False,gpt-5.6-luna,,True,1,
x13-017,deterministic_structural,1,2,get-form:http://127.0.0.1:4395/suite-v13/x13-017/birch:memo,/suite-v13/x13-017/birch,memo,False,True,deterministic_structural,deterministic,False,0,
x13-023,deterministic_structural,1,3,get-form:http://127.0.0.1:4395/suite-v13/x13-023/violet:name,/suite-v13/x13-023/violet,name,False,True,deterministic_structural,deterministic,False,0,
x13-023,proprietary_gpt,1,3,get-form:http://127.0.0.1:4395/suite-v13/x13-023/violet:name,/suite-v13/x13-023/violet,name,False,True,gpt-5.6-luna,,True,1,
x13-013,proprietary_gpt,4,2,get-form:http://127.0.0.1:4395/suite-v13/x13-013/larch:memo,/suite-v13/x13-013/larch,memo,True,True,gpt-5.6-luna,,True,1,
x13-012,proprietary_gpt,5,2,get-form:http://127.0.0.1:4395/suite-v13/x13-012/hazel:query,/suite-v13/x13-012/hazel,query,False,True,gpt-5.6-luna,,True,1,
x13-001,proprietary_gpt,4,2,get-form:http://127.0.0.1:4395/suite-v13/x13-001/birch:memo,/suite-v13/x13-001/birch,memo,False,True,gpt-5.6-luna,,True,1,
x13-003,proprietary_gpt,4,5,query:http://127.0.0.1:4395/suite-v13/x13-003/west?view=sample&page=sample:page,/suite-v13/x13-003/west,page,False,False,gpt-5.6-luna,,True,1,
x13-006,proprietary_gpt,5,1,get-form:http://127.0.0.1:4395/suite-v13/x13-006/lagoon:query,/suite-v13/x13-006/lagoon,query,False,True,gpt-5.6-luna,,True,1,
x13-012,local_qwen,3,5,get-form:http://127.0.0.1:4395/suite-v13/x13-012/kepler:message,/suite-v13/x13-012/kepler,message,False,False,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,124849
x13-012,local_qwen,1,4,get-form:http://127.0.0.1:4395/suite-v13/x13-012/juno:text,/suite-v13/x13-012/juno,text,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,194502
x13-017,proprietary_gpt,3,2,get-form:http://127.0.0.1:4395/suite-v13/x13-017/birch:memo,/suite-v13/x13-017/birch,memo,False,True,gpt-5.6-luna,,True,1,
x13-018,local_qwen,1,1,get-form:http://127.0.0.1:4395/suite-v13/x13-018/cedar:query,/suite-v13/x13-018/cedar,query,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,122733
x13-014,proprietary_gpt,5,2,get-form:http://127.0.0.1:4395/suite-v13/x13-014/pearl:name,/suite-v13/x13-014/pearl,name,False,True,gpt-5.6-luna,,True,1,
x13-006,proprietary_gpt,4,2,get-form:http://127.0.0.1:4395/suite-v13/x13-006/mesa:text,/suite-v13/x13-006/mesa,text,False,True,gpt-5.6-luna,,True,1,
x13-023,local_qwen,4,7,query:http://127.0.0.1:4395/suite-v13/x13-023/south?ref=sample&page=sample&mode=sample&kind=sample:page,/suite-v13/x13-023/south,page,False,False,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,172880
x13-006,local_qwen,4,5,query:http://127.0.0.1:4395/suite-v13/x13-006/detail?ref=sample&page=sample&mode=sample&kind=sample:kind,/suite-v13/x13-006/detail,kind,False,False,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,188003
x13-018,proprietary_gpt,3,3,get-form:http://127.0.0.1:4395/suite-v13/x13-018/echo:name,/suite-v13/x13-018/echo,name,False,True,gpt-5.6-luna,,True,1,
x13-011,local_qwen,4,1,get-form:http://127.0.0.1:4395/suite-v13/x13-011/cobalt:query,/suite-v13/x13-011/cobalt,query,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,133620
x13-019,proprietary_gpt,5,5,query:http://127.0.0.1:4395/suite-v13/x13-019/south?code=sample&view=sample&kind=sample:kind,/suite-v13/x13-019/south,kind,False,False,gpt-5.6-luna,,True,1,
x13-009,deterministic_structural,1,2,get-form:http://127.0.0.1:4395/suite-v13/x13-009/willow:note,/suite-v13/x13-009/willow,note,False,True,deterministic_structural,deterministic,False,0,
x13-017,proprietary_gpt,3,4,query:http://127.0.0.1:4395/suite-v13/x13-017/east?item=sample&line=sample:line,/suite-v13/x13-017/east,line,False,True,gpt-5.6-luna,,True,1,
x13-022,proprietary_gpt,1,1,get-form:http://127.0.0.1:4395/suite-v13/x13-022/prism:line,/suite-v13/x13-022/prism,line,False,True,gpt-5.6-luna,,True,1,
x13-015,local_qwen,1,7,query:http://127.0.0.1:4395/suite-v13/x13-015/south?ref=sample&mode=sample&page=sample&item=sample:ref,/suite-v13/x13-015/south,ref,False,False,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,169630
x13-004,deterministic_structural,1,4,get-form:http://127.0.0.1:4395/suite-v13/x13-004/echo:memo,/suite-v13/x13-004/echo,memo,True,True,deterministic_structural,deterministic,False,0,
x13-008,local_qwen,2,4,query:http://127.0.0.1:4395/suite-v13/x13-008/south?item=sample&mode=sample:mode,/suite-v13/x13-008/south,mode,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,116593
x13-010,deterministic_structural,1,3,get-form:http://127.0.0.1:4395/suite-v13/x13-010/benton:line,/suite-v13/x13-010/benton,line,False,True,deterministic_structural,deterministic,False,0,
x13-019,local_qwen,2,6,query:http://127.0.0.1:4395/suite-v13/x13-019/south?code=sample&view=sample&kind=sample:view,/suite-v13/x13-019/south,view,False,False,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,133272
x13-004,proprietary_gpt,1,4,get-form:http://127.0.0.1:4395/suite-v13/x13-004/grove:item,/suite-v13/x13-004/grove,item,False,True,gpt-5.6-luna,,True,1,
x13-021,proprietary_gpt,5,2,get-form:http://127.0.0.1:4395/suite-v13/x13-021/mesa:name,/suite-v13/x13-021/mesa,name,False,True,gpt-5.6-luna,,True,1,
x13-010,proprietary_gpt,2,2,get-form:http://127.0.0.1:4395/suite-v13/x13-010/benton:line,/suite-v13/x13-010/benton,line,False,True,gpt-5.6-luna,,True,1,
x13-015,local_qwen,2,2,get-form:http://127.0.0.1:4395/suite-v13/x13-015/thistle:comment,/suite-v13/x13-015/thistle,comment,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,153231
x13-004,proprietary_gpt,3,6,query:http://127.0.0.1:4395/suite-v13/x13-004/west?ref=sample&kind=sample:ref,/suite-v13/x13-004/west,ref,False,False,gpt-5.6-luna,,True,1,
x13-011,proprietary_gpt,2,4,get-form:http://127.0.0.1:4395/suite-v13/x13-011/fable:name,/suite-v13/x13-011/fable,name,False,True,gpt-5.6-luna,,True,1,
x13-024,proprietary_gpt,1,1,get-form:http://127.0.0.1:4395/suite-v13/x13-024/xenon:memo,/suite-v13/x13-024/xenon,memo,False,True,gpt-5.6-luna,,True,1,
x13-019,local_qwen,2,3,get-form:http://127.0.0.1:4395/suite-v13/x13-019/harbor:memo,/suite-v13/x13-019/harbor,memo,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,133272
x13-020,local_qwen,2,3,get-form:http://127.0.0.1:4395/suite-v13/x13-020/krypton:name,/suite-v13/x13-020/krypton,name,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,135792
x13-021,local_qwen,3,3,get-form:http://127.0.0.1:4395/suite-v13/x13-021/nectar:query,/suite-v13/x13-021/nectar,query,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,94290
x13-006,proprietary_gpt,3,1,get-form:http://127.0.0.1:4395/suite-v13/x13-006/lagoon:query,/suite-v13/x13-006/lagoon,query,False,True,gpt-5.6-luna,,True,1,
x13-003,proprietary_gpt,5,2,get-form:http://127.0.0.1:4395/suite-v13/x13-003/brook:note,/suite-v13/x13-003/brook,note,False,True,gpt-5.6-luna,,True,1,
x13-006,proprietary_gpt,4,5,query:http://127.0.0.1:4395/suite-v13/x13-006/detail?ref=sample&page=sample&mode=sample&kind=sample:kind,/suite-v13/x13-006/detail,kind,False,False,gpt-5.6-luna,,True,1,
x13-022,proprietary_gpt,3,3,get-form:http://127.0.0.1:4395/suite-v13/x13-022/ridge:title,/suite-v13/x13-022/ridge,title,False,True,gpt-5.6-luna,,True,1,
x13-020,local_qwen,5,5,query:http://127.0.0.1:4395/suite-v13/x13-020/south?ref=sample&page=sample&mode=sample:mode,/suite-v13/x13-020/south,mode,False,False,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,101588
x13-021,local_qwen,4,6,query:http://127.0.0.1:4395/suite-v13/x13-021/south?code=sample&view=sample:view,/suite-v13/x13-021/south,view,False,False,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,136688
x13-015,local_qwen,5,4,query:http://127.0.0.1:4395/suite-v13/x13-015/south?ref=sample&mode=sample&page=sample&item=sample:item,/suite-v13/x13-015/south,item,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,114921
x13-012,deterministic_structural,1,1,get-form:http://127.0.0.1:4395/suite-v13/x13-012/garden:search,/suite-v13/x13-012/garden,search,False,True,deterministic_structural,deterministic,False,0,
x13-015,local_qwen,4,3,get-form:http://127.0.0.1:4395/suite-v13/x13-015/upland:message,/suite-v13/x13-015/upland,message,True,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,171779
x13-019,local_qwen,2,5,query:http://127.0.0.1:4395/suite-v13/x13-019/south?code=sample&view=sample&kind=sample:kind,/suite-v13/x13-019/south,kind,False,False,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,133272
