sequence,arm_id,scenario_id,trial_number,scenario_type,status,contract_valid,provider_failed,focal_vulnerable_candidate_id,parsed_ranking,vulnerable_candidate_rank,top_1_success,top_4_success,reciprocal_rank,latency_ms,raw_artifact,validation_errors
28,deterministic_structural,os15-s0028,1,positive,valid,True,False,os15-c000184,"[""os15-c000051"",""os15-c000184"",""os15-c000162"",""os15-c000373"",""os15-c000503""]",2,False,True,0.5,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0028__deterministic_structural__os15-s0028__trial-1.json,[]
29,deterministic_structural,os15-s0029,1,positive,valid,True,False,os15-c000066,"[""os15-c000074"",""os15-c000466"",""os15-c000093"",""os15-c000111"",""os15-c000066""]",5,False,False,0.2,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0029__deterministic_structural__os15-s0029__trial-1.json,[]
30,deterministic_structural,os15-s0030,1,positive,valid,True,False,os15-c000477,"[""os15-c000329"",""os15-c000358"",""os15-c000477"",""os15-c000083"",""os15-c000493""]",3,False,True,0.333333,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0030__deterministic_structural__os15-s0030__trial-1.json,[]
31,deterministic_structural,os15-s0031,1,positive,valid,True,False,os15-c000283,"[""os15-c000372"",""os15-c000087"",""os15-c000283"",""os15-c000223"",""os15-c000410""]",3,False,True,0.333333,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0031__deterministic_structural__os15-s0031__trial-1.json,[]
32,deterministic_structural,os15-s0032,1,positive,valid,True,False,os15-c000454,"[""os15-c000192"",""os15-c000336"",""os15-c000337"",""os15-c000454"",""os15-c000455""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0032__deterministic_structural__os15-s0032__trial-1.json,[]
33,deterministic_structural,os15-s0033,1,positive,valid,True,False,os15-c000076,"[""os15-c000151"",""os15-c000216"",""os15-c000323"",""os15-c000388"",""os15-c000076""]",5,False,False,0.2,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0033__deterministic_structural__os15-s0033__trial-1.json,[]
34,deterministic_structural,os15-s0034,1,positive,valid,True,False,os15-c000183,"[""os15-c000131"",""os15-c000183"",""os15-c000308"",""os15-c000469"",""os15-c000154""]",2,False,True,0.5,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0034__deterministic_structural__os15-s0034__trial-1.json,[]
35,deterministic_structural,os15-s0035,1,positive,valid,True,False,os15-c000445,"[""os15-c000073"",""os15-c000501"",""os15-c000116"",""os15-c000427"",""os15-c000445""]",5,False,False,0.2,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0035__deterministic_structural__os15-s0035__trial-1.json,[]
36,deterministic_structural,os15-s0036,1,positive,valid,True,False,os15-c000394,"[""os15-c000243"",""os15-c000331"",""os15-c000103"",""os15-c000394"",""os15-c000492""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0036__deterministic_structural__os15-s0036__trial-1.json,[]
37,deterministic_structural,os15-s0037,1,positive,valid,True,False,os15-c000242,"[""os15-c000067"",""os15-c000242"",""os15-c000305"",""os15-c000261"",""os15-c000384""]",2,False,True,0.5,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0037__deterministic_structural__os15-s0037__trial-1.json,[]
38,deterministic_structural,os15-s0038,1,positive,valid,True,False,os15-c000272,"[""os15-c000396"",""os15-c000110"",""os15-c000408"",""os15-c000464"",""os15-c000272""]",5,False,False,0.2,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0038__deterministic_structural__os15-s0038__trial-1.json,[]
39,deterministic_structural,os15-s0039,1,positive,valid,True,False,os15-c000480,"[""os15-c000392"",""os15-c000195"",""os15-c000480"",""os15-c000485"",""os15-c000163""]",3,False,True,0.333333,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0039__deterministic_structural__os15-s0039__trial-1.json,[]
40,deterministic_structural,os15-s0040,1,positive,valid,True,False,os15-c000234,"[""os15-c000351"",""os15-c000234"",""os15-c000414"",""os15-c000284"",""os15-c000325""]",2,False,True,0.5,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0040__deterministic_structural__os15-s0040__trial-1.json,[]
41,deterministic_structural,os15-s0041,1,positive,valid,True,False,os15-c000356,"[""os15-c000122"",""os15-c000210"",""os15-c000356"",""os15-c000135"",""os15-c000450""]",3,False,True,0.333333,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0041__deterministic_structural__os15-s0041__trial-1.json,[]
42,deterministic_structural,os15-s0042,1,positive,valid,True,False,os15-c000354,"[""os15-c000220"",""os15-c000311"",""os15-c000321"",""os15-c000354"",""os15-c000426""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0042__deterministic_structural__os15-s0042__trial-1.json,[]
43,deterministic_structural,os15-s0043,1,positive,valid,True,False,os15-c000016,"[""os15-c000312"",""os15-c000016"",""os15-c000063"",""os15-c000470"",""os15-c000491""]",2,False,True,0.5,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0043__deterministic_structural__os15-s0043__trial-1.json,[]
44,deterministic_structural,os15-s0044,1,positive,valid,True,False,os15-c000024,"[""os15-c000150"",""os15-c000024"",""os15-c000364"",""os15-c000295"",""os15-c000324""]",2,False,True,0.5,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0044__deterministic_structural__os15-s0044__trial-1.json,[]
45,deterministic_structural,os15-s0045,1,positive,valid,True,False,os15-c000387,"[""os15-c000387"",""os15-c000025"",""os15-c000343"",""os15-c000367"",""os15-c000218""]",1,True,True,1.0,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0045__deterministic_structural__os15-s0045__trial-1.json,[]
46,deterministic_structural,os15-s0046,1,positive,valid,True,False,os15-c000304,"[""os15-c000171"",""os15-c000209"",""os15-c000366"",""os15-c000304"",""os15-c000502""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0046__deterministic_structural__os15-s0046__trial-1.json,[]
47,deterministic_structural,os15-s0047,1,positive,valid,True,False,os15-c000147,"[""os15-c000052"",""os15-c000054"",""os15-c000207"",""os15-c000147"",""os15-c000428""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0047__deterministic_structural__os15-s0047__trial-1.json,[]
48,deterministic_structural,os15-s0048,1,positive,valid,True,False,os15-c000021,"[""os15-c000021"",""os15-c000053"",""os15-c000330"",""os15-c000293"",""os15-c000236""]",1,True,True,1.0,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0048__deterministic_structural__os15-s0048__trial-1.json,[]
49,deterministic_structural,os15-s0049,1,positive,valid,True,False,os15-c000274,"[""os15-c000274"",""os15-c000452"",""os15-c000362"",""os15-c000152"",""os15-c000112""]",1,True,True,1.0,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0049__deterministic_structural__os15-s0049__trial-1.json,[]
50,deterministic_structural,os15-s0050,1,positive,valid,True,False,os15-c000094,"[""os15-c000432"",""os15-c000203"",""os15-c000481"",""os15-c000094"",""os15-c000084""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0050__deterministic_structural__os15-s0050__trial-1.json,[]
51,deterministic_structural,os15-s0051,1,positive,valid,True,False,os15-c000008,"[""os15-c000020"",""os15-c000064"",""os15-c000153"",""os15-c000008"",""os15-c000503""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0051__deterministic_structural__os15-s0051__trial-1.json,[]
52,deterministic_structural,os15-s0052,1,positive,valid,True,False,os15-c000371,"[""os15-c000371"",""os15-c000051"",""os15-c000162"",""os15-c000373"",""os15-c000111""]",1,True,True,1.0,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0052__deterministic_structural__os15-s0052__trial-1.json,[]
53,deterministic_structural,os15-s0053,1,positive,valid,True,False,os15-c000145,"[""os15-c000358"",""os15-c000074"",""os15-c000145"",""os15-c000466"",""os15-c000093""]",3,False,True,0.333333,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0053__deterministic_structural__os15-s0053__trial-1.json,[]
54,deterministic_structural,os15-s0054,1,positive,valid,True,False,os15-c000003,"[""os15-c000003"",""os15-c000372"",""os15-c000329"",""os15-c000083"",""os15-c000493""]",1,True,True,1.0,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0054__deterministic_structural__os15-s0054__trial-1.json,[]
55,deterministic_structural,os15-s0055,1,positive,valid,True,False,os15-c000224,"[""os15-c000224"",""os15-c000336"",""os15-c000087"",""os15-c000223"",""os15-c000410""]",1,True,True,1.0,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0055__deterministic_structural__os15-s0055__trial-1.json,[]
56,deterministic_structural,os15-s0056,1,positive,valid,True,False,os15-c000146,"[""os15-c000151"",""os15-c000192"",""os15-c000337"",""os15-c000146"",""os15-c000455""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0056__deterministic_structural__os15-s0056__trial-1.json,[]
57,deterministic_structural,os15-s0057,1,positive,valid,True,False,os15-c000190,"[""os15-c000131"",""os15-c000190"",""os15-c000216"",""os15-c000323"",""os15-c000388""]",2,False,True,0.5,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0057__deterministic_structural__os15-s0057__trial-1.json,[]
58,deterministic_structural,os15-s0058,1,positive,valid,True,False,os15-c000225,"[""os15-c000225"",""os15-c000308"",""os15-c000469"",""os15-c000501"",""os15-c000154""]",1,True,True,1.0,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0058__deterministic_structural__os15-s0058__trial-1.json,[]
59,deterministic_structural,os15-s0059,1,positive,valid,True,False,os15-c000486,"[""os15-c000073"",""os15-c000486"",""os15-c000116"",""os15-c000427"",""os15-c000492""]",2,False,True,0.5,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0059__deterministic_structural__os15-s0059__trial-1.json,[]
60,deterministic_structural,os15-s0060,1,positive,valid,True,False,os15-c000015,"[""os15-c000067"",""os15-c000243"",""os15-c000015"",""os15-c000331"",""os15-c000103""]",3,False,True,0.333333,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0060__deterministic_structural__os15-s0060__trial-1.json,[]
61,deterministic_structural,os15-s0061,1,positive,valid,True,False,os15-c000096,"[""os15-c000305"",""os15-c000464"",""os15-c000096"",""os15-c000261"",""os15-c000384""]",3,False,True,0.333333,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0061__deterministic_structural__os15-s0061__trial-1.json,[]
62,deterministic_structural,os15-s0062,1,positive,valid,True,False,os15-c000302,"[""os15-c000396"",""os15-c000195"",""os15-c000110"",""os15-c000302"",""os15-c000408""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0062__deterministic_structural__os15-s0062__trial-1.json,[]
63,deterministic_structural,os15-s0063,1,positive,valid,True,False,os15-c000423,"[""os15-c000392"",""os15-c000485"",""os15-c000163"",""os15-c000423"",""os15-c000325""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0063__deterministic_structural__os15-s0063__trial-1.json,[]
64,deterministic_structural,os15-s0064,1,positive,valid,True,False,os15-c000386,"[""os15-c000386"",""os15-c000351"",""os15-c000414"",""os15-c000284"",""os15-c000450""]",1,True,True,1.0,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0064__deterministic_structural__os15-s0064__trial-1.json,[]
65,deterministic_structural,os15-s0065,1,positive,valid,True,False,os15-c000065,"[""os15-c000122"",""os15-c000220"",""os15-c000210"",""os15-c000135"",""os15-c000065""]",5,False,False,0.2,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0065__deterministic_structural__os15-s0065__trial-1.json,[]
66,deterministic_structural,os15-s0066,1,positive,valid,True,False,os15-c000200,"[""os15-c000311"",""os15-c000321"",""os15-c000200"",""os15-c000470"",""os15-c000426""]",3,False,True,0.333333,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0066__deterministic_structural__os15-s0066__trial-1.json,[]
67,deterministic_structural,os15-s0067,1,positive,valid,True,False,os15-c000201,"[""os15-c000312"",""os15-c000063"",""os15-c000201"",""os15-c000491"",""os15-c000324""]",3,False,True,0.333333,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0067__deterministic_structural__os15-s0067__trial-1.json,[]
68,deterministic_structural,os15-s0068,1,positive,valid,True,False,os15-c000352,"[""os15-c000150"",""os15-c000025"",""os15-c000352"",""os15-c000364"",""os15-c000295""]",3,False,True,0.333333,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0068__deterministic_structural__os15-s0068__trial-1.json,[]
69,deterministic_structural,os15-s0069,1,positive,valid,True,False,os15-c000136,"[""os15-c000209"",""os15-c000343"",""os15-c000367"",""os15-c000136"",""os15-c000218""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0069__deterministic_structural__os15-s0069__trial-1.json,[]
70,deterministic_structural,os15-s0070,1,positive,valid,True,False,os15-c000484,"[""os15-c000052"",""os15-c000171"",""os15-c000366"",""os15-c000484"",""os15-c000502""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0070__deterministic_structural__os15-s0070__trial-1.json,[]
71,deterministic_structural,os15-s0071,1,positive,valid,True,False,os15-c000483,"[""os15-c000053"",""os15-c000054"",""os15-c000207"",""os15-c000483"",""os15-c000428""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0071__deterministic_structural__os15-s0071__trial-1.json,[]
72,deterministic_structural,os15-s0072,1,positive,valid,True,False,os15-c000363,"[""os15-c000330"",""os15-c000363"",""os15-c000293"",""os15-c000112"",""os15-c000236""]",2,False,True,0.5,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0072__deterministic_structural__os15-s0072__trial-1.json,[]
