distinct_pre_tiebreak_scores,scenario_id,score_equivalence_pattern,score_vector_in_final_order,vulnerable_alignment_bucket,vulnerable_candidate_rank,vulnerable_distractors_sharing_score,vulnerable_in_best_score_class,vulnerable_in_worst_score_class,vulnerable_pre_tiebreak_score,vulnerable_score_class_rank
3,ow14-s0017,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,3,2,True,False,132,1
2,ow14-s0018,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,1,3,True,False,132,1
3,ow14-s0019,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,3,2,True,False,132,1
2,ow14-s0020,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,1,3,True,False,132,1
2,ow14-s0021,3-2,"[132, 132, 132, 127, 127]",tied_for_highest,2,2,True,False,132,1
1,ow14-s0022,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,2,4,True,True,132,1
2,ow14-s0023,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,1,3,True,False,132,1
2,ow14-s0024,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,4,3,True,False,132,1
2,ow14-s0025,3-2,"[132, 132, 117, 117, 117]",tied_for_lowest,4,2,False,True,117,2
2,ow14-s0026,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,3,3,True,False,132,1
3,ow14-s0027,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,2,2,True,False,132,1
2,ow14-s0028,3-2,"[132, 132, 132, 127, 127]",tied_for_lowest,4,1,False,True,127,2
1,ow14-s0029,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,2,4,True,True,132,1
2,ow14-s0030,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,1,3,True,False,132,1
3,ow14-s0031,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,1,2,True,False,132,1
2,ow14-s0032,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,2,3,True,False,132,1
2,ow14-s0033,3-2,"[132, 132, 117, 117, 117]",tied_for_highest,2,1,True,False,132,1
2,ow14-s0034,3-2,"[132, 132, 117, 117, 117]",tied_for_lowest,3,2,False,True,117,2
2,ow14-s0035,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,2,3,True,False,132,1
2,ow14-s0036,4-1,"[132, 132, 132, 132, 127]",strictly_lowest,5,0,False,True,127,2
1,ow14-s0037,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,2,4,True,True,132,1
2,ow14-s0038,3-2,"[132, 132, 132, 117, 117]",tied_for_lowest,5,1,False,True,117,2
3,ow14-s0039,2-2-1,"[132, 132, 127, 117, 117]",tied_for_lowest,5,1,False,True,117,3
2,ow14-s0040,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,2,3,True,False,132,1
1,ow14-s0041,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,4,4,True,True,132,1
3,ow14-s0042,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,2,2,True,False,132,1
2,ow14-s0043,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,3,3,True,False,132,1
2,ow14-s0044,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,3,3,True,False,132,1
2,ow14-s0045,4-1,"[132, 132, 132, 132, 117]",strictly_lowest,5,0,False,True,117,2
3,ow14-s0046,2-2-1,"[132, 132, 127, 127, 117]",tied_for_highest,1,1,True,False,132,1
2,ow14-s0047,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,1,3,True,False,132,1
3,ow14-s0048,3-1-1,"[132, 132, 132, 127, 117]",strictly_lowest,5,0,False,True,117,3
3,ow14-s0049,2-2-1,"[132, 132, 127, 127, 117]",tied_for_highest,2,1,True,False,132,1
2,ow14-s0050,3-2,"[132, 132, 132, 127, 127]",tied_for_lowest,5,1,False,True,127,2
2,ow14-s0051,4-1,"[132, 132, 132, 132, 127]",strictly_lowest,5,0,False,True,127,2
3,ow14-s0052,2-2-1,"[132, 132, 127, 117, 117]",neither_highest_nor_lowest_middle,3,0,False,False,127,2
2,ow14-s0053,3-2,"[132, 132, 132, 117, 117]",tied_for_highest,1,2,True,False,132,1
2,ow14-s0054,3-2,"[132, 132, 132, 127, 127]",tied_for_lowest,4,1,False,True,127,2
3,ow14-s0055,2-2-1,"[132, 132, 127, 127, 117]",tied_in_middle_score_class,4,1,False,False,127,2
2,ow14-s0056,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,4,3,True,False,132,1
3,ow14-s0057,2-2-1,"[132, 132, 127, 127, 117]",tied_in_middle_score_class,3,1,False,False,127,2
2,ow14-s0058,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,4,3,True,False,132,1
2,ow14-s0059,3-2,"[132, 132, 132, 127, 127]",tied_for_highest,2,2,True,False,132,1
2,ow14-s0060,4-1,"[132, 132, 132, 132, 127]",strictly_lowest,5,0,False,True,127,2
2,ow14-s0061,3-2,"[132, 132, 132, 117, 117]",tied_for_lowest,4,1,False,True,117,2
3,ow14-s0062,3-1-1,"[132, 132, 132, 127, 117]",neither_highest_nor_lowest_middle,4,0,False,False,127,2
2,ow14-s0063,3-2,"[132, 132, 132, 117, 117]",tied_for_highest,2,2,True,False,132,1
2,ow14-s0064,3-2,"[132, 132, 132, 117, 117]",tied_for_lowest,4,1,False,True,117,2
3,ow14-s0065,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,2,2,True,False,132,1
3,ow14-s0066,3-1-1,"[132, 132, 132, 127, 117]",strictly_lowest,5,0,False,True,117,3
1,ow14-s0067,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,4,4,True,True,132,1
2,ow14-s0068,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,1,3,True,False,132,1
3,ow14-s0069,2-2-1,"[132, 132, 127, 117, 117]",tied_for_lowest,4,1,False,True,117,3
2,ow14-s0070,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,2,3,True,False,132,1
2,ow14-s0071,3-2,"[132, 132, 117, 117, 117]",tied_for_highest,1,1,True,False,132,1
2,ow14-s0072,3-2,"[132, 132, 132, 117, 117]",tied_for_highest,1,2,True,False,132,1
2,ow14-s0073,3-2,"[132, 132, 132, 117, 117]",tied_for_lowest,5,1,False,True,117,2
1,ow14-s0074,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,3,4,True,True,132,1
1,ow14-s0075,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,2,4,True,True,132,1
2,ow14-s0076,3-2,"[132, 132, 132, 117, 117]",tied_for_lowest,5,1,False,True,117,2
3,ow14-s0077,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,1,2,True,False,132,1
2,ow14-s0078,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,3,3,True,False,132,1
1,ow14-s0079,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,5,4,True,True,132,1
3,ow14-s0080,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,3,2,True,False,132,1
2,ow14-s0081,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,4,3,True,False,132,1
2,ow14-s0082,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,3,3,True,False,132,1
2,ow14-s0083,4-1,"[132, 132, 132, 132, 117]",strictly_lowest,5,0,False,True,117,2
3,ow14-s0084,2-2-1,"[132, 132, 127, 127, 117]",tied_for_highest,1,1,True,False,132,1
2,ow14-s0085,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,2,3,True,False,132,1
2,ow14-s0086,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,4,3,True,False,132,1
3,ow14-s0087,2-2-1,"[132, 127, 127, 117, 117]",tied_for_lowest,5,1,False,True,117,3
3,ow14-s0088,3-1-1,"[132, 132, 132, 127, 117]",strictly_lowest,5,0,False,True,117,3
2,ow14-s0089,4-1,"[132, 132, 132, 132, 127]",strictly_lowest,5,0,False,True,127,2
2,ow14-s0090,3-2,"[132, 132, 132, 117, 117]",tied_for_highest,3,2,True,False,132,1
2,ow14-s0091,3-2,"[132, 132, 117, 117, 117]",tied_for_lowest,5,2,False,True,117,2
3,ow14-s0092,3-1-1,"[132, 132, 132, 127, 117]",strictly_lowest,5,0,False,True,117,3
3,ow14-s0093,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,3,2,True,False,132,1
3,ow14-s0094,3-1-1,"[132, 132, 132, 127, 117]",neither_highest_nor_lowest_middle,4,0,False,False,127,2
3,ow14-s0095,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,3,2,True,False,132,1
3,ow14-s0096,3-1-1,"[132, 132, 132, 127, 117]",neither_highest_nor_lowest_middle,4,0,False,False,127,2
2,ow14-s0097,3-2,"[132, 132, 132, 127, 127]",tied_for_highest,1,2,True,False,132,1
1,ow14-s0098,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,2,4,True,True,132,1
2,ow14-s0099,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,4,3,True,False,132,1
2,ow14-s0100,3-2,"[132, 132, 132, 117, 117]",tied_for_lowest,5,1,False,True,117,2
2,ow14-s0101,3-2,"[132, 132, 132, 117, 117]",tied_for_highest,1,2,True,False,132,1
3,ow14-s0102,3-1-1,"[132, 132, 132, 127, 117]",neither_highest_nor_lowest_middle,4,0,False,False,127,2
3,ow14-s0103,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,2,2,True,False,132,1
2,ow14-s0104,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,4,3,True,False,132,1
1,ow14-s0105,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,1,4,True,True,132,1
2,ow14-s0106,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,1,3,True,False,132,1
3,ow14-s0107,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,3,2,True,False,132,1
3,ow14-s0108,3-1-1,"[132, 132, 132, 127, 117]",strictly_lowest,5,0,False,True,117,3
2,ow14-s0109,4-1,"[132, 117, 117, 117, 117]",tied_for_lowest,2,3,False,True,117,2
3,ow14-s0110,2-2-1,"[132, 132, 127, 117, 117]",neither_highest_nor_lowest_middle,3,0,False,False,127,2
2,ow14-s0111,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,2,3,True,False,132,1
1,ow14-s0112,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,5,4,True,True,132,1
2,ow14-s0113,4-1,"[132, 132, 132, 132, 127]",strictly_lowest,5,0,False,True,127,2
2,ow14-s0114,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,4,3,True,False,132,1
3,ow14-s0115,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,1,2,True,False,132,1
2,ow14-s0116,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,1,3,True,False,132,1
2,ow14-s0117,4-1,"[132, 132, 132, 132, 127]",strictly_lowest,5,0,False,True,127,2
3,ow14-s0118,2-2-1,"[132, 132, 127, 117, 117]",tied_for_lowest,4,1,False,True,117,3
2,ow14-s0119,3-2,"[132, 132, 132, 117, 117]",tied_for_lowest,4,1,False,True,117,2
2,ow14-s0120,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,2,3,True,False,132,1
1,ow14-s0121,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,3,4,True,True,132,1
3,ow14-s0122,2-2-1,"[132, 132, 127, 127, 117]",tied_for_highest,1,1,True,False,132,1
2,ow14-s0123,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,1,3,True,False,132,1
3,ow14-s0124,3-1-1,"[132, 132, 132, 127, 117]",strictly_lowest,5,0,False,True,117,3
3,ow14-s0125,2-2-1,"[132, 132, 127, 127, 117]",tied_for_highest,2,1,True,False,132,1
2,ow14-s0126,3-2,"[132, 132, 132, 127, 127]",tied_for_lowest,5,1,False,True,127,2
1,ow14-s0127,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,2,4,True,True,132,1
2,ow14-s0128,3-2,"[132, 132, 132, 117, 117]",tied_for_highest,3,2,True,False,132,1
2,ow14-s0129,3-2,"[132, 132, 132, 117, 117]",tied_for_highest,2,2,True,False,132,1
2,ow14-s0130,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,3,3,True,False,132,1
3,ow14-s0131,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,1,2,True,False,132,1
2,ow14-s0132,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,3,3,True,False,132,1
3,ow14-s0133,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,3,2,True,False,132,1
3,ow14-s0134,3-1-1,"[132, 132, 132, 127, 117]",neither_highest_nor_lowest_middle,4,0,False,False,127,2
2,ow14-s0135,3-2,"[132, 132, 132, 127, 127]",tied_for_highest,2,2,True,False,132,1
2,ow14-s0136,4-1,"[132, 132, 132, 132, 117]",strictly_lowest,5,0,False,True,117,2
2,ow14-s0137,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,1,3,True,False,132,1
2,ow14-s0138,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,4,3,True,False,132,1
2,ow14-s0139,3-2,"[132, 132, 117, 117, 117]",tied_for_lowest,4,2,False,True,117,2
2,ow14-s0140,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,2,3,True,False,132,1
3,ow14-s0141,2-2-1,"[132, 132, 127, 117, 117]",tied_for_lowest,4,1,False,True,117,3
3,ow14-s0142,3-1-1,"[132, 132, 132, 127, 117]",strictly_lowest,5,0,False,True,117,3
2,ow14-s0143,4-1,"[132, 132, 132, 132, 117]",strictly_lowest,5,0,False,True,117,2
2,ow14-s0144,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,1,3,True,False,132,1
3,ow14-s0145,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,2,2,True,False,132,1
2,ow14-s0146,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,1,3,True,False,132,1
2,ow14-s0147,3-2,"[132, 132, 117, 117, 117]",tied_for_highest,2,1,True,False,132,1
2,ow14-s0148,3-2,"[132, 132, 132, 117, 117]",tied_for_highest,1,2,True,False,132,1
3,ow14-s0149,3-1-1,"[132, 132, 132, 127, 117]",neither_highest_nor_lowest_middle,4,0,False,False,127,2
1,ow14-s0150,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,3,4,True,True,132,1
2,ow14-s0151,4-1,"[132, 132, 132, 132, 117]",strictly_lowest,5,0,False,True,117,2
2,ow14-s0152,3-2,"[132, 132, 132, 117, 117]",tied_for_lowest,4,1,False,True,117,2
3,ow14-s0153,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,3,2,True,False,132,1
2,ow14-s0154,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,1,3,True,False,132,1
1,ow14-s0155,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,1,4,True,True,132,1
3,ow14-s0156,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,1,2,True,False,132,1
3,ow14-s0157,3-1-1,"[132, 132, 132, 127, 117]",neither_highest_nor_lowest_middle,4,0,False,False,127,2
2,ow14-s0158,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,1,3,True,False,132,1
1,ow14-s0159,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,4,4,True,True,132,1
3,ow14-s0160,2-2-1,"[132, 132, 127, 127, 117]",tied_for_highest,1,1,True,False,132,1
2,ow14-s0161,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,1,3,True,False,132,1
2,ow14-s0162,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,4,3,True,False,132,1
3,ow14-s0163,2-2-1,"[132, 132, 127, 127, 117]",tied_for_highest,2,1,True,False,132,1
2,ow14-s0164,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,3,3,True,False,132,1
2,ow14-s0165,4-1,"[132, 132, 132, 132, 117]",strictly_lowest,5,0,False,True,117,2
2,ow14-s0166,3-2,"[132, 132, 132, 117, 117]",tied_for_highest,1,2,True,False,132,1
2,ow14-s0167,3-2,"[132, 132, 132, 117, 117]",tied_for_highest,3,2,True,False,132,1
2,ow14-s0168,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,1,3,True,False,132,1
3,ow14-s0169,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,2,2,True,False,132,1
2,ow14-s0170,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,4,3,True,False,132,1
3,ow14-s0171,2-2-1,"[132, 132, 127, 117, 117]",tied_for_lowest,5,1,False,True,117,3
2,ow14-s0172,3-2,"[132, 132, 132, 117, 117]",tied_for_lowest,4,1,False,True,117,2
2,ow14-s0173,3-2,"[132, 132, 132, 127, 127]",tied_for_highest,2,2,True,False,132,1
1,ow14-s0174,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,2,4,True,True,132,1
2,ow14-s0175,3-2,"[132, 132, 132, 117, 117]",tied_for_lowest,4,1,False,True,117,2
2,ow14-s0176,3-2,"[132, 132, 132, 117, 117]",tied_for_lowest,5,1,False,True,117,2
2,ow14-s0177,3-2,"[132, 132, 132, 117, 117]",tied_for_highest,2,2,True,False,132,1
3,ow14-s0178,3-1-1,"[132, 132, 132, 127, 117]",neither_highest_nor_lowest_middle,4,0,False,False,127,2
3,ow14-s0179,2-2-1,"[132, 132, 127, 117, 117]",tied_for_lowest,4,1,False,True,117,3
2,ow14-s0180,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,4,3,True,False,132,1
2,ow14-s0181,4-1,"[132, 132, 132, 132, 117]",strictly_lowest,5,0,False,True,117,2
3,ow14-s0182,3-1-1,"[132, 132, 132, 127, 117]",strictly_lowest,5,0,False,True,117,3
3,ow14-s0183,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,2,2,True,False,132,1
2,ow14-s0184,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,1,3,True,False,132,1
2,ow14-s0185,4-1,"[132, 117, 117, 117, 117]",tied_for_lowest,2,3,False,True,117,2
2,ow14-s0186,3-2,"[132, 132, 117, 117, 117]",tied_for_lowest,5,2,False,True,117,2
2,ow14-s0187,3-2,"[132, 132, 132, 117, 117]",tied_for_lowest,5,1,False,True,117,2
1,ow14-s0188,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,1,4,True,True,132,1
1,ow14-s0189,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,2,4,True,True,132,1
2,ow14-s0190,3-2,"[132, 132, 132, 117, 117]",tied_for_lowest,4,1,False,True,117,2
3,ow14-s0191,2-2-1,"[132, 132, 127, 117, 117]",tied_for_lowest,4,1,False,True,117,3
2,ow14-s0192,3-2,"[132, 132, 132, 127, 127]",tied_for_lowest,5,1,False,True,127,2
2,ow14-s0193,4-1,"[132, 132, 132, 132, 127]",strictly_lowest,5,0,False,True,127,2
3,ow14-s0194,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,1,2,True,False,132,1
2,ow14-s0195,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,4,3,True,False,132,1
2,ow14-s0196,3-2,"[132, 132, 132, 117, 117]",tied_for_lowest,5,1,False,True,117,2
2,ow14-s0197,4-1,"[132, 132, 132, 132, 117]",strictly_lowest,5,0,False,True,117,2
3,ow14-s0198,2-2-1,"[132, 132, 127, 127, 117]",tied_for_highest,1,1,True,False,132,1
2,ow14-s0199,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,2,3,True,False,132,1
2,ow14-s0200,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,1,3,True,False,132,1
3,ow14-s0201,3-1-1,"[132, 127, 127, 127, 117]",tied_in_middle_score_class,3,2,False,False,127,2
2,ow14-s0202,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,2,3,True,False,132,1
1,ow14-s0203,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,2,4,True,True,132,1
2,ow14-s0204,3-2,"[132, 132, 132, 117, 117]",tied_for_highest,3,2,True,False,132,1
3,ow14-s0205,2-2-1,"[132, 132, 127, 117, 117]",neither_highest_nor_lowest_middle,3,0,False,False,127,2
3,ow14-s0206,3-1-1,"[132, 132, 132, 127, 117]",strictly_lowest,5,0,False,True,117,3
3,ow14-s0207,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,1,2,True,False,132,1
3,ow14-s0208,3-1-1,"[132, 132, 132, 127, 117]",neither_highest_nor_lowest_middle,4,0,False,False,127,2
3,ow14-s0209,2-2-1,"[132, 132, 127, 117, 117]",tied_for_lowest,4,1,False,True,117,3
2,ow14-s0210,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,2,3,True,False,132,1
3,ow14-s0211,2-2-1,"[132, 132, 127, 127, 117]",strictly_lowest,5,0,False,True,117,3
2,ow14-s0212,4-1,"[132, 132, 132, 132, 117]",strictly_lowest,5,0,False,True,117,2
2,ow14-s0213,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,2,3,True,False,132,1
2,ow14-s0214,3-2,"[132, 132, 132, 117, 117]",tied_for_lowest,5,1,False,True,117,2
2,ow14-s0215,3-2,"[132, 132, 132, 117, 117]",tied_for_highest,2,2,True,False,132,1
2,ow14-s0216,3-2,"[132, 132, 132, 117, 117]",tied_for_lowest,4,1,False,True,117,2
3,ow14-s0217,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,1,2,True,False,132,1
2,ow14-s0218,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,4,3,True,False,132,1
1,ow14-s0219,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,4,4,True,True,132,1
2,ow14-s0220,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,4,3,True,False,132,1
3,ow14-s0221,2-2-1,"[132, 132, 127, 117, 117]",tied_for_lowest,5,1,False,True,117,3
2,ow14-s0222,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,4,3,True,False,132,1
2,ow14-s0223,3-2,"[132, 132, 117, 117, 117]",tied_for_highest,2,1,True,False,132,1
2,ow14-s0224,3-2,"[132, 132, 117, 117, 117]",tied_for_lowest,5,2,False,True,117,2
2,ow14-s0225,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,1,3,True,False,132,1
1,ow14-s0226,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,3,4,True,True,132,1
1,ow14-s0227,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,5,4,True,True,132,1
2,ow14-s0228,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,4,3,True,False,132,1
3,ow14-s0229,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,1,2,True,False,132,1
2,ow14-s0230,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,2,3,True,False,132,1
1,ow14-s0231,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,2,4,True,True,132,1
3,ow14-s0232,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,2,2,True,False,132,1
3,ow14-s0233,3-1-1,"[132, 132, 132, 127, 117]",neither_highest_nor_lowest_middle,4,0,False,False,127,2
2,ow14-s0234,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,3,3,True,False,132,1
2,ow14-s0235,4-1,"[132, 132, 132, 132, 127]",strictly_lowest,5,0,False,True,127,2
3,ow14-s0236,2-2-1,"[132, 132, 127, 127, 117]",tied_for_highest,1,1,True,False,132,1
