scenario_id,scenario_type,candidate_id,position,is_focal_vulnerable
ow14-s0015,positive,ox14-c000037,5,false
ow14-s0016,positive,ox14-c000110,1,true
ow14-s0016,positive,ox14-c000245,2,false
ow14-s0016,positive,ox14-c000354,3,false
ow14-s0016,positive,ox14-c000270,4,false
ow14-s0016,positive,ox14-c000374,5,false
ow14-s0017,positive,ox14-c000087,1,false
ow14-s0017,positive,ox14-c000075,2,false
ow14-s0017,positive,ox14-c000322,3,true
ow14-s0017,positive,ox14-c000127,4,false
ow14-s0017,positive,ox14-c000033,5,false
ow14-s0018,positive,ox14-c000406,1,false
ow14-s0018,positive,ox14-c000352,2,false
ow14-s0018,positive,ox14-c000277,3,false
ow14-s0018,positive,ox14-c000262,4,true
ow14-s0018,positive,ox14-c000297,5,false
ow14-s0019,positive,ox14-c000357,1,false
ow14-s0019,positive,ox14-c000183,2,false
ow14-s0019,positive,ox14-c000193,3,true
ow14-s0019,positive,ox14-c000113,4,false
ow14-s0019,positive,ox14-c000060,5,false
ow14-s0020,positive,ox14-c000097,1,true
ow14-s0020,positive,ox14-c000103,2,false
ow14-s0020,positive,ox14-c000398,3,false
ow14-s0020,positive,ox14-c000381,4,false
ow14-s0020,positive,ox14-c000293,5,false
ow14-s0021,positive,ox14-c000373,1,false
ow14-s0021,positive,ox14-c000422,2,false
ow14-s0021,positive,ox14-c000400,3,true
ow14-s0021,positive,ox14-c000093,4,false
ow14-s0021,positive,ox14-c000107,5,false
ow14-s0022,positive,ox14-c000237,1,true
ow14-s0022,positive,ox14-c000337,2,false
ow14-s0022,positive,ox14-c000053,3,false
ow14-s0022,positive,ox14-c000350,4,false
ow14-s0022,positive,ox14-c000427,5,false
ow14-s0023,positive,ox14-c000016,1,false
ow14-s0023,positive,ox14-c000344,2,false
ow14-s0023,positive,ox14-c000384,3,false
ow14-s0023,positive,ox14-c000216,4,false
ow14-s0023,positive,ox14-c000122,5,true
ow14-s0024,positive,ox14-c000207,1,false
ow14-s0024,positive,ox14-c000268,2,false
ow14-s0024,positive,ox14-c000356,3,true
ow14-s0024,positive,ox14-c000220,4,false
ow14-s0024,positive,ox14-c000177,5,false
ow14-s0025,positive,ox14-c000026,1,false
ow14-s0025,positive,ox14-c000061,2,false
ow14-s0025,positive,ox14-c000434,3,false
ow14-s0025,positive,ox14-c000314,4,false
ow14-s0025,positive,ox14-c000309,5,true
ow14-s0026,positive,ox14-c000109,1,false
ow14-s0026,positive,ox14-c000219,2,false
ow14-s0026,positive,ox14-c000273,3,false
ow14-s0026,positive,ox14-c000242,4,true
ow14-s0026,positive,ox14-c000034,5,false
ow14-s0027,positive,ox14-c000405,1,false
ow14-s0027,positive,ox14-c000303,2,false
ow14-s0027,positive,ox14-c000101,3,false
ow14-s0027,positive,ox14-c000363,4,false
ow14-s0027,positive,ox14-c000241,5,true
ow14-s0028,positive,ox14-c000091,1,true
ow14-s0028,positive,ox14-c000100,2,false
ow14-s0028,positive,ox14-c000226,3,false
ow14-s0028,positive,ox14-c000111,4,false
ow14-s0028,positive,ox14-c000064,5,false
ow14-s0029,positive,ox14-c000212,1,false
ow14-s0029,positive,ox14-c000387,2,false
ow14-s0029,positive,ox14-c000048,3,false
ow14-s0029,positive,ox14-c000141,4,false
ow14-s0029,positive,ox14-c000057,5,true
ow14-s0030,positive,ox14-c000082,1,false
ow14-s0030,positive,ox14-c000423,2,false
ow14-s0030,positive,ox14-c000399,3,false
ow14-s0030,positive,ox14-c000251,4,false
ow14-s0030,positive,ox14-c000049,5,true
ow14-s0031,positive,ox14-c000410,1,false
ow14-s0031,positive,ox14-c000085,2,false
ow14-s0031,positive,ox14-c000296,3,false
ow14-s0031,positive,ox14-c000069,4,true
ow14-s0031,positive,ox14-c000077,5,false
ow14-s0032,positive,ox14-c000132,1,true
ow14-s0032,positive,ox14-c000118,2,false
ow14-s0032,positive,ox14-c000395,3,false
ow14-s0032,positive,ox14-c000353,4,false
ow14-s0032,positive,ox14-c000223,5,false
ow14-s0033,positive,ox14-c000311,1,false
ow14-s0033,positive,ox14-c000394,2,true
ow14-s0033,positive,ox14-c000315,3,false
ow14-s0033,positive,ox14-c000307,4,false
ow14-s0033,positive,ox14-c000188,5,false
ow14-s0034,positive,ox14-c000161,1,false
ow14-s0034,positive,ox14-c000167,2,false
ow14-s0034,positive,ox14-c000027,3,true
ow14-s0034,positive,ox14-c000404,4,false
ow14-s0034,positive,ox14-c000351,5,false
ow14-s0035,positive,ox14-c000029,1,false
ow14-s0035,positive,ox14-c000272,2,false
ow14-s0035,positive,ox14-c000429,3,false
ow14-s0035,positive,ox14-c000117,4,false
ow14-s0035,positive,ox14-c000217,5,true
ow14-s0036,positive,ox14-c000377,1,false
ow14-s0036,positive,ox14-c000089,2,true
ow14-s0036,positive,ox14-c000346,3,false
ow14-s0036,positive,ox14-c000185,4,false
ow14-s0036,positive,ox14-c000136,5,false
ow14-s0037,positive,ox14-c000247,1,false
ow14-s0037,positive,ox14-c000070,2,false
ow14-s0037,positive,ox14-c000198,3,false
ow14-s0037,positive,ox14-c000190,4,true
ow14-s0037,positive,ox14-c000396,5,false
ow14-s0038,positive,ox14-c000099,1,false
ow14-s0038,positive,ox14-c000056,2,false
ow14-s0038,positive,ox14-c000023,3,false
ow14-s0038,positive,ox14-c000171,4,true
ow14-s0038,positive,ox14-c000102,5,false
ow14-s0039,positive,ox14-c000348,1,false
ow14-s0039,positive,ox14-c000030,2,false
ow14-s0039,positive,ox14-c000236,3,false
ow14-s0039,positive,ox14-c000305,4,true
ow14-s0039,positive,ox14-c000189,5,false
ow14-s0040,positive,ox14-c000341,1,false
ow14-s0040,positive,ox14-c000324,2,true
ow14-s0040,positive,ox14-c000209,3,false
ow14-s0040,positive,ox14-c000426,4,false
ow14-s0040,positive,ox14-c000083,5,false
ow14-s0041,positive,ox14-c000184,1,false
ow14-s0041,positive,ox14-c000327,2,true
ow14-s0041,positive,ox14-c000254,3,false
ow14-s0041,positive,ox14-c000259,4,false
ow14-s0041,positive,ox14-c000333,5,false
ow14-s0042,positive,ox14-c000328,1,true
ow14-s0042,positive,ox14-c000229,2,false
ow14-s0042,positive,ox14-c000031,3,false
ow14-s0042,positive,ox14-c000355,4,false
ow14-s0042,positive,ox14-c000278,5,false
ow14-s0043,positive,ox14-c000125,1,false
ow14-s0043,positive,ox14-c000204,2,false
ow14-s0043,positive,ox14-c000065,3,false
ow14-s0043,positive,ox14-c000200,4,true
ow14-s0043,positive,ox14-c000294,5,false
ow14-s0044,positive,ox14-c000397,1,true
ow14-s0044,positive,ox14-c000164,2,false
ow14-s0044,positive,ox14-c000409,3,false
ow14-s0044,positive,ox14-c000044,4,false
ow14-s0044,positive,ox14-c000066,5,false
ow14-s0045,positive,ox14-c000174,1,true
ow14-s0045,positive,ox14-c000432,2,false
ow14-s0045,positive,ox14-c000112,3,false
ow14-s0045,positive,ox14-c000208,4,false
ow14-s0045,positive,ox14-c000261,5,false
ow14-s0046,positive,ox14-c000310,1,false
ow14-s0046,positive,ox14-c000408,2,true
ow14-s0046,positive,ox14-c000414,3,false
ow14-s0046,positive,ox14-c000224,4,false
ow14-s0046,positive,ox14-c000362,5,false
ow14-s0047,positive,ox14-c000036,1,false
ow14-s0047,positive,ox14-c000210,2,false
ow14-s0047,positive,ox14-c000134,3,true
ow14-s0047,positive,ox14-c000402,4,false
ow14-s0047,positive,ox14-c000391,5,false
ow14-s0048,positive,ox14-c000032,1,true
ow14-s0048,positive,ox14-c000067,2,false
ow14-s0048,positive,ox14-c000252,3,false
ow14-s0048,positive,ox14-c000225,4,false
ow14-s0048,positive,ox14-c000320,5,false
ow14-s0049,positive,ox14-c000140,1,false
ow14-s0049,positive,ox14-c000165,2,false
ow14-s0049,positive,ox14-c000090,3,false
ow14-s0049,positive,ox14-c000186,4,true
ow14-s0049,positive,ox14-c000369,5,false
ow14-s0050,positive,ox14-c000072,1,false
ow14-s0050,positive,ox14-c000081,2,false
ow14-s0050,positive,ox14-c000368,3,true
ow14-s0050,positive,ox14-c000389,4,false
ow14-s0050,positive,ox14-c000265,5,false
ow14-s0051,positive,ox14-c000246,1,false
ow14-s0051,positive,ox14-c000046,2,false
ow14-s0051,positive,ox14-c000234,3,true
ow14-s0051,positive,ox14-c000323,4,false
ow14-s0051,positive,ox14-c000211,5,false
ow14-s0052,positive,ox14-c000025,1,false
ow14-s0052,positive,ox14-c000181,2,false
ow14-s0052,positive,ox14-c000231,3,true
ow14-s0052,positive,ox14-c000108,4,false
ow14-s0052,positive,ox14-c000121,5,false
ow14-s0053,positive,ox14-c000012,1,false
ow14-s0053,positive,ox14-c000037,2,false
ow14-s0053,positive,ox14-c000042,3,true
ow14-s0053,positive,ox14-c000197,4,false
ow14-s0053,positive,ox14-c000058,5,false
ow14-s0054,positive,ox14-c000245,1,false
ow14-s0054,positive,ox14-c000086,2,true
ow14-s0054,positive,ox14-c000374,3,false
ow14-s0054,positive,ox14-c000354,4,false
ow14-s0054,positive,ox14-c000270,5,false
ow14-s0055,positive,ox14-c000127,1,false
ow14-s0055,positive,ox14-c000228,2,true
ow14-s0055,positive,ox14-c000087,3,false
ow14-s0055,positive,ox14-c000033,4,false
ow14-s0055,positive,ox14-c000075,5,false
ow14-s0056,positive,ox14-c000277,1,false
ow14-s0056,positive,ox14-c000406,2,false
ow14-s0056,positive,ox14-c000352,3,false
ow14-s0056,positive,ox14-c000297,4,false
ow14-s0056,positive,ox14-c000412,5,true
ow14-s0057,positive,ox14-c000113,1,false
ow14-s0057,positive,ox14-c000060,2,false
ow14-s0057,positive,ox14-c000357,3,false
ow14-s0057,positive,ox14-c000092,4,true
ow14-s0057,positive,ox14-c000183,5,false
ow14-s0058,positive,ox14-c000425,1,true
ow14-s0058,positive,ox14-c000293,2,false
ow14-s0058,positive,ox14-c000381,3,false
ow14-s0058,positive,ox14-c000103,4,false
ow14-s0058,positive,ox14-c000398,5,false
ow14-s0059,positive,ox14-c000093,1,false
ow14-s0059,positive,ox14-c000373,2,false
ow14-s0059,positive,ox14-c000422,3,false
ow14-s0059,positive,ox14-c000107,4,false
ow14-s0059,positive,ox14-c000129,5,true
ow14-s0060,positive,ox14-c000427,1,false
ow14-s0060,positive,ox14-c000084,2,true
ow14-s0060,positive,ox14-c000337,3,false
ow14-s0060,positive,ox14-c000053,4,false
ow14-s0060,positive,ox14-c000350,5,false
ow14-s0061,positive,ox14-c000384,1,false
ow14-s0061,positive,ox14-c000016,2,false
ow14-s0061,positive,ox14-c000344,3,false
ow14-s0061,positive,ox14-c000002,4,true
ow14-s0061,positive,ox14-c000216,5,false
ow14-s0062,positive,ox14-c000220,1,false
ow14-s0062,positive,ox14-c000177,2,false
ow14-s0062,positive,ox14-c000079,3,true
ow14-s0062,positive,ox14-c000207,4,false
ow14-s0062,positive,ox14-c000268,5,false
ow14-s0063,positive,ox14-c000314,1,false
ow14-s0063,positive,ox14-c000026,2,false
ow14-s0063,positive,ox14-c000417,3,true
ow14-s0063,positive,ox14-c000061,4,false
ow14-s0063,positive,ox14-c000434,5,false
ow14-s0064,positive,ox14-c000034,1,false
ow14-s0064,positive,ox14-c000273,2,false
ow14-s0064,positive,ox14-c000019,3,true
ow14-s0064,positive,ox14-c000219,4,false
ow14-s0064,positive,ox14-c000109,5,false
ow14-s0065,positive,ox14-c000405,1,false
ow14-s0065,positive,ox14-c000101,2,false
ow14-s0065,positive,ox14-c000363,3,false
ow14-s0065,positive,ox14-c000347,4,true
ow14-s0065,positive,ox14-c000303,5,false
ow14-s0066,positive,ox14-c000100,1,false
ow14-s0066,positive,ox14-c000226,2,false
ow14-s0066,positive,ox14-c000039,3,true
ow14-s0066,positive,ox14-c000064,4,false
ow14-s0066,positive,ox14-c000111,5,false
ow14-s0067,positive,ox14-c000212,1,false
ow14-s0067,positive,ox14-c000385,2,true
ow14-s0067,positive,ox14-c000048,3,false
ow14-s0067,positive,ox14-c000141,4,false
ow14-s0067,positive,ox14-c000387,5,false
ow14-s0068,positive,ox14-c000248,1,true
ow14-s0068,positive,ox14-c000399,2,false
ow14-s0068,positive,ox14-c000082,3,false
ow14-s0068,positive,ox14-c000251,4,false
ow14-s0068,positive,ox14-c000423,5,false
ow14-s0069,positive,ox14-c000296,1,false
ow14-s0069,positive,ox14-c000410,2,false
ow14-s0069,positive,ox14-c000077,3,false
ow14-s0069,positive,ox14-c000179,4,true
ow14-s0069,positive,ox14-c000085,5,false
ow14-s0070,positive,ox14-c000343,1,true
ow14-s0070,positive,ox14-c000395,2,false
ow14-s0070,positive,ox14-c000223,3,false
ow14-s0070,positive,ox14-c000118,4,false
ow14-s0070,positive,ox14-c000353,5,false
ow14-s0071,positive,ox14-c000311,1,false
ow14-s0071,positive,ox14-c000116,2,true
ow14-s0071,positive,ox14-c000307,3,false
ow14-s0071,positive,ox14-c000315,4,false
ow14-s0071,positive,ox14-c000188,5,false
ow14-s0072,positive,ox14-c000404,1,false
ow14-s0072,positive,ox14-c000167,2,false
ow14-s0072,positive,ox14-c000271,3,true
ow14-s0072,positive,ox14-c000351,4,false
ow14-s0072,positive,ox14-c000161,5,false
ow14-s0073,positive,ox14-c000304,1,true
ow14-s0073,positive,ox14-c000272,2,false
ow14-s0073,positive,ox14-c000429,3,false
ow14-s0073,positive,ox14-c000029,4,false
ow14-s0073,positive,ox14-c000117,5,false
ow14-s0074,positive,ox14-c000185,1,false
ow14-s0074,positive,ox14-c000335,2,true
ow14-s0074,positive,ox14-c000346,3,false
ow14-s0074,positive,ox14-c000136,4,false
ow14-s0074,positive,ox14-c000377,5,false
ow14-s0075,positive,ox14-c000198,1,false
ow14-s0075,positive,ox14-c000070,2,false
ow14-s0075,positive,ox14-c000104,3,true
ow14-s0075,positive,ox14-c000396,4,false
ow14-s0075,positive,ox14-c000247,5,false
ow14-s0076,positive,ox14-c000023,1,false
ow14-s0076,positive,ox14-c000163,2,true
ow14-s0076,positive,ox14-c000056,3,false
ow14-s0076,positive,ox14-c000099,4,false
ow14-s0076,positive,ox14-c000102,5,false
ow14-s0077,positive,ox14-c000030,1,false
ow14-s0077,positive,ox14-c000189,2,false
ow14-s0077,positive,ox14-c000054,3,true
ow14-s0077,positive,ox14-c000236,4,false
ow14-s0077,positive,ox14-c000348,5,false
ow14-s0078,positive,ox14-c000341,1,false
ow14-s0078,positive,ox14-c000083,2,false
ow14-s0078,positive,ox14-c000209,3,false
ow14-s0078,positive,ox14-c000342,4,true
ow14-s0078,positive,ox14-c000426,5,false
ow14-s0079,positive,ox14-c000254,1,false
ow14-s0079,positive,ox14-c000340,2,true
ow14-s0079,positive,ox14-c000259,3,false
ow14-s0079,positive,ox14-c000184,4,false
ow14-s0079,positive,ox14-c000333,5,false
ow14-s0080,positive,ox14-c000383,1,true
ow14-s0080,positive,ox14-c000278,2,false
ow14-s0080,positive,ox14-c000355,3,false
ow14-s0080,positive,ox14-c000031,4,false
ow14-s0080,positive,ox14-c000229,5,false
ow14-s0081,positive,ox14-c000125,1,false
ow14-s0081,positive,ox14-c000065,2,false
ow14-s0081,positive,ox14-c000435,3,true
ow14-s0081,positive,ox14-c000294,4,false
ow14-s0081,positive,ox14-c000204,5,false
ow14-s0082,positive,ox14-c000044,1,false
ow14-s0082,positive,ox14-c000066,2,false
ow14-s0082,positive,ox14-c000131,3,true
ow14-s0082,positive,ox14-c000164,4,false
ow14-s0082,positive,ox14-c000409,5,false
ow14-s0083,positive,ox14-c000208,1,false
ow14-s0083,positive,ox14-c000432,2,false
ow14-s0083,positive,ox14-c000301,3,true
ow14-s0083,positive,ox14-c000261,4,false
ow14-s0083,positive,ox14-c000112,5,false
ow14-s0084,positive,ox14-c000224,1,false
ow14-s0084,positive,ox14-c000332,2,true
ow14-s0084,positive,ox14-c000362,3,false
ow14-s0084,positive,ox14-c000310,4,false
ow14-s0084,positive,ox14-c000414,5,false
ow14-s0085,positive,ox14-c000402,1,false
ow14-s0085,positive,ox14-c000036,2,false
ow14-s0085,positive,ox14-c000210,3,false
ow14-s0085,positive,ox14-c000391,4,false
ow14-s0085,positive,ox14-c000264,5,true
ow14-s0086,positive,ox14-c000067,1,false
ow14-s0086,positive,ox14-c000320,2,false
ow14-s0086,positive,ox14-c000421,3,true
ow14-s0086,positive,ox14-c000225,4,false
ow14-s0086,positive,ox14-c000252,5,false
ow14-s0087,positive,ox14-c000165,1,false
ow14-s0087,positive,ox14-c000090,2,false
ow14-s0087,positive,ox14-c000319,3,true
ow14-s0087,positive,ox14-c000140,4,false
ow14-s0087,positive,ox14-c000369,5,false
ow14-s0088,positive,ox14-c000072,1,false
ow14-s0088,positive,ox14-c000312,2,true
ow14-s0088,positive,ox14-c000265,3,false
ow14-s0088,positive,ox14-c000389,4,false
ow14-s0088,positive,ox14-c000081,5,false
ow14-s0089,positive,ox14-c000323,1,false
ow14-s0089,positive,ox14-c000046,2,false
ow14-s0089,positive,ox14-c000367,3,true
ow14-s0089,positive,ox14-c000211,4,false
ow14-s0089,positive,ox14-c000246,5,false
ow14-s0090,positive,ox14-c000121,1,false
ow14-s0090,positive,ox14-c000181,2,false
ow14-s0090,positive,ox14-c000025,3,false
ow14-s0090,positive,ox14-c000266,4,true
ow14-s0090,positive,ox14-c000108,5,false
ow14-s0091,positive,ox14-c000040,1,true
ow14-s0091,positive,ox14-c000058,2,false
ow14-s0091,positive,ox14-c000012,3,false
ow14-s0091,positive,ox14-c000197,4,false
ow14-s0091,positive,ox14-c000037,5,false
ow14-s0092,positive,ox14-c000374,1,false
ow14-s0092,positive,ox14-c000159,2,true
ow14-s0092,positive,ox14-c000270,3,false
ow14-s0092,positive,ox14-c000245,4,false
ow14-s0092,positive,ox14-c000354,5,false
ow14-s0093,positive,ox14-c000033,1,false
ow14-s0093,positive,ox14-c000075,2,false
ow14-s0093,positive,ox14-c000336,3,true
ow14-s0093,positive,ox14-c000087,4,false
ow14-s0093,positive,ox14-c000127,5,false
ow14-s0094,positive,ox14-c000277,1,false
ow14-s0094,positive,ox14-c000352,2,false
ow14-s0094,positive,ox14-c000370,3,true
ow14-s0094,positive,ox14-c000297,4,false
ow14-s0094,positive,ox14-c000406,5,false
ow14-s0095,positive,ox14-c000357,1,false
ow14-s0095,positive,ox14-c000183,2,false
ow14-s0095,positive,ox14-c000113,3,false
ow14-s0095,positive,ox14-c000060,4,false
ow14-s0095,positive,ox14-c000133,5,true
ow14-s0096,positive,ox14-c000004,1,true
ow14-s0096,positive,ox14-c000398,2,false
ow14-s0096,positive,ox14-c000103,3,false
ow14-s0096,positive,ox14-c000293,4,false
ow14-s0096,positive,ox14-c000381,5,false
ow14-s0097,positive,ox14-c000074,1,true
ow14-s0097,positive,ox14-c000093,2,false
ow14-s0097,positive,ox14-c000373,3,false
ow14-s0097,positive,ox14-c000422,4,false
ow14-s0097,positive,ox14-c000107,5,false
ow14-s0098,positive,ox14-c000427,1,false
ow14-s0098,positive,ox14-c000053,2,false
ow14-s0098,positive,ox14-c000275,3,true
ow14-s0098,positive,ox14-c000350,4,false
ow14-s0098,positive,ox14-c000337,5,false
ow14-s0099,positive,ox14-c000344,1,false
ow14-s0099,positive,ox14-c000384,2,false
ow14-s0099,positive,ox14-c000428,3,true
ow14-s0099,positive,ox14-c000016,4,false
ow14-s0099,positive,ox14-c000216,5,false
ow14-s0100,positive,ox14-c000207,1,false
ow14-s0100,positive,ox14-c000220,2,false
ow14-s0100,positive,ox14-c000177,3,false
ow14-s0100,positive,ox14-c000306,4,true
ow14-s0100,positive,ox14-c000268,5,false
ow14-s0101,positive,ox14-c000314,1,false
ow14-s0101,positive,ox14-c000434,2,false
ow14-s0101,positive,ox14-c000026,3,false
ow14-s0101,positive,ox14-c000061,4,false
ow14-s0101,positive,ox14-c000007,5,true
ow14-s0102,positive,ox14-c000273,1,false
ow14-s0102,positive,ox14-c000109,2,false
ow14-s0102,positive,ox14-c000219,3,false
ow14-s0102,positive,ox14-c000034,4,false
ow14-s0102,positive,ox14-c000359,5,true
ow14-s0103,positive,ox14-c000405,1,false
ow14-s0103,positive,ox14-c000269,2,true
ow14-s0103,positive,ox14-c000101,3,false
ow14-s0103,positive,ox14-c000363,4,false
ow14-s0103,positive,ox14-c000303,5,false
ow14-s0104,positive,ox14-c000111,1,false
ow14-s0104,positive,ox14-c000064,2,false
ow14-s0104,positive,ox14-c000403,3,true
ow14-s0104,positive,ox14-c000100,4,false
ow14-s0104,positive,ox14-c000226,5,false
ow14-s0105,positive,ox14-c000212,1,false
ow14-s0105,positive,ox14-c000003,2,true
ow14-s0105,positive,ox14-c000387,3,false
ow14-s0105,positive,ox14-c000048,4,false
ow14-s0105,positive,ox14-c000141,5,false
ow14-s0106,positive,ox14-c000202,1,true
ow14-s0106,positive,ox14-c000399,2,false
ow14-s0106,positive,ox14-c000082,3,false
ow14-s0106,positive,ox14-c000251,4,false
ow14-s0106,positive,ox14-c000423,5,false
ow14-s0107,positive,ox14-c000410,1,false
ow14-s0107,positive,ox14-c000085,2,false
ow14-s0107,positive,ox14-c000430,3,true
ow14-s0107,positive,ox14-c000077,4,false
ow14-s0107,positive,ox14-c000296,5,false
ow14-s0108,positive,ox14-c000118,1,false
ow14-s0108,positive,ox14-c000395,2,false
ow14-s0108,positive,ox14-c000223,3,false
ow14-s0108,positive,ox14-c000353,4,false
ow14-s0108,positive,ox14-c000018,5,true
ow14-s0109,positive,ox14-c000307,1,false
ow14-s0109,positive,ox14-c000020,2,true
ow14-s0109,positive,ox14-c000315,3,false
ow14-s0109,positive,ox14-c000311,4,false
ow14-s0109,positive,ox14-c000188,5,false
ow14-s0110,positive,ox14-c000351,1,false
ow14-s0110,positive,ox14-c000167,2,false
ow14-s0110,positive,ox14-c000161,3,false
ow14-s0110,positive,ox14-c000404,4,false
ow14-s0110,positive,ox14-c000232,5,true
ow14-s0111,positive,ox14-c000029,1,false
ow14-s0111,positive,ox14-c000117,2,false
ow14-s0111,positive,ox14-c000429,3,false
ow14-s0111,positive,ox14-c000119,4,true
ow14-s0111,positive,ox14-c000272,5,false
ow14-s0112,positive,ox14-c000378,1,true
ow14-s0112,positive,ox14-c000136,2,false
ow14-s0112,positive,ox14-c000346,3,false
ow14-s0112,positive,ox14-c000185,4,false
ow14-s0112,positive,ox14-c000377,5,false
ow14-s0113,positive,ox14-c000094,1,true
ow14-s0113,positive,ox14-c000396,2,false
ow14-s0113,positive,ox14-c000198,3,false
ow14-s0113,positive,ox14-c000070,4,false
ow14-s0113,positive,ox14-c000247,5,false
ow14-s0114,positive,ox14-c000102,1,false
ow14-s0114,positive,ox14-c000099,2,false
ow14-s0114,positive,ox14-c000139,3,true
ow14-s0114,positive,ox14-c000023,4,false
ow14-s0114,positive,ox14-c000056,5,false
ow14-s0115,positive,ox14-c000189,1,false
ow14-s0115,positive,ox14-c000006,2,true
ow14-s0115,positive,ox14-c000348,3,false
ow14-s0115,positive,ox14-c000236,4,false
ow14-s0115,positive,ox14-c000030,5,false
ow14-s0116,positive,ox14-c000083,1,false
ow14-s0116,positive,ox14-c000426,2,false
ow14-s0116,positive,ox14-c000120,3,true
ow14-s0116,positive,ox14-c000341,4,false
ow14-s0116,positive,ox14-c000209,5,false
ow14-s0117,positive,ox14-c000333,1,false
ow14-s0117,positive,ox14-c000184,2,false
ow14-s0117,positive,ox14-c000259,3,false
ow14-s0117,positive,ox14-c000221,4,true
ow14-s0117,positive,ox14-c000254,5,false
ow14-s0118,positive,ox14-c000031,1,false
ow14-s0118,positive,ox14-c000355,2,false
ow14-s0118,positive,ox14-c000010,3,true
ow14-s0118,positive,ox14-c000229,4,false
ow14-s0118,positive,ox14-c000278,5,false
ow14-s0119,positive,ox14-c000294,1,false
ow14-s0119,positive,ox14-c000204,2,false
ow14-s0119,positive,ox14-c000125,3,false
ow14-s0119,positive,ox14-c000169,4,true
ow14-s0119,positive,ox14-c000065,5,false
ow14-s0120,positive,ox14-c000409,1,false
ow14-s0120,positive,ox14-c000164,2,false
ow14-s0120,positive,ox14-c000050,3,true
ow14-s0120,positive,ox14-c000044,4,false
ow14-s0120,positive,ox14-c000066,5,false
ow14-s0121,positive,ox14-c000208,1,false
ow14-s0121,positive,ox14-c000112,2,false
ow14-s0121,positive,ox14-c000261,3,false
ow14-s0121,positive,ox14-c000214,4,true
ow14-s0121,positive,ox14-c000432,5,false
ow14-s0122,positive,ox14-c000224,1,false
